Question,Answer,Professional_Acupuncture_Points,TCM_Herbal_Formula_Recommendations,Pregnancy_Safety_Notes
"When I feel my stress rising at my desk, what can I do in the next 5 minutes?","Try a mini breathing break: sit upright with feet flat, inhale slowly through your nose for 4 seconds, exhale for 6, and repeat 10–15 times to calm your nervous system.""mutualofomaha+1​","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When my shoulders are up by my ears at work, what can I do in the next 5 minutes?","Do shoulder rolls: sit tall, roll both shoulders up, back, and down in slow circles 10 times, then forward 10 times, coordinating with slow breathing.""ahead-app+1​","GB21 (Jianjing), SI11 (Tianzong), LI15 (Jianyu), BL13 (Feishu), GB20 (Fengchi)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my back feels stiff from sitting, what can I do in the next 5 minutes?","Try a seated spinal twist: feet flat, gently twist your torso to one side holding the chair, take 3 deep breaths, then repeat on the other side.""mentalhealthblogger+1​","BL23 (Shenshu), BL40 (Weizhong), GV4 (Mingmen), BL25 (Dachangshu), Yaoyan",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel mentally flooded between meetings, what can I do in the next 5 minutes?","Close your eyes, take 10 slow breaths, then jot down the top 3 things that truly need attention today and let the rest wait until later.""psychologytoday+1​","GV20 (Baihui), GV24 (Shenting), Yintang, PC6 (Neiguan), ST36 (Zusanli), SP6 (Sanyinjiao)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I am stuck at my desk for hours, what can I do in the next 5 minutes?","Stand up, walk around your workspace or hallway, swing your arms gently, and take at least 20–30 steps to boost circulation and alertness.""vantagefit+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I notice jaw tension while working, what can I do in the next 5 minutes?","Unclench your teeth, gently massage around your jaw joints and temples with your fingertips, and pair the massage with slow nasal breathing.""mutualofomaha+1​","ST6 (Jiache), ST7 (Xiaguan), LI4 (Hegu), LV3 (Taichong), GB20 (Fengchi)",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my to‑do list feels impossible, what can I do in the next 5 minutes?","Write everything down, circle just one priority task for the next hour, and give yourself permission to ignore the rest until that one is done.""franciscanhealth+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel myself rushing nonstop, what can I do in the next 5 minutes?","Pause, plant your feet on the floor, take 10 deep breaths, and speak one clear sentence about your next step to reduce mental clutter.""psychologytoday+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I start the day already tense, what can I do in the next 5 minutes?","Before opening email, sit upright, take 10 slow breaths, stretch your neck side to side, and set one realistic intention for the day.""vantagefit+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel my energy crashing mid‑afternoon, what can I do in the next 5 minutes?","Stand up, stretch your arms overhead, gently bend side to side, and take a brief walk to get water instead of grabbing more caffeine immediately.""franciscanhealth+1​","ST36 (Zusanli), CV6 (Qihai), CV4 (Guanyuan), BL20 (Pishu), BL23 (Shenshu), GV20 (Baihui)",Bu Zhong Yi Qi Tang (Qi deficiency fatigue) | Gui Pi Tang (overthinking/overwork) | Shi Quan Da Bu Tang (Qi-Blood deficiency),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my posture collapses over the keyboard, what can I do in the next 5 minutes?","Reset: sit back in your chair, feet flat, knees at roughly 90 degrees, lengthen your spine, relax your shoulders, and keep ears over shoulders.""oxfordfamilyvisioncare+1​","GV20 (Baihui), GV14 (Dazhui), BL11 (Dazhu), ST36 (Zusanli), BL23 (Shenshu)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I hunch toward my laptop screen, what can I do in the next 5 minutes?","Raise your screen so the top is at or slightly below eye level, sit an arm’s length away, and bring the keyboard and mouse closer to avoid leaning.""focuswestoptometry+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my neck hurts from looking down, what can I do in the next 5 minutes?","Lift your screen or device, tuck your chin slightly so your neck stays in line with your spine, and gently nod your head yes/no 10 times each.""eizoglobal+1​","GB20 (Fengchi), BL10 (Tianzhu), SI3 (Houxi), LI4 (Hegu), GV14 (Dazhui)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I lean forward all day without noticing, what can I do in the next 5 minutes?","Scoot your hips back in the chair, press your back against the backrest, place feet flat, and imagine a string gently lifting the crown of your head.""mentalhealthblogger+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my lower back feels tight at my desk, what can I do in the next 5 minutes?","Sit tall, place your hands on your thighs, gently arch your back on an inhale and round it slightly on an exhale, repeating 10 times.""betterhood+1​","BL23 (Shenshu), BL25 (Dachangshu), GV4 (Mingmen), BL40 (Weizhong), KI3 (Taixi)",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I strain to see the screen, what can I do in the next 5 minutes?","Adjust font size and brightness so text is easy to read from 20–28 inches away, and avoid leaning closer instead of changing the settings.""focuswestoptometry+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my eyes feel dry and tired, what can I do in the next 5 minutes?","Follow the 20‑20‑20 rule: every 20 minutes, look at something 20 feet away for at least 20 seconds to relax your eye muscles.""aoa+1​","BL1 (Jingming), BL2 (Zanzhu), Taiyang, ST2 (Sibai), GB20 (Fengchi), LV3 (Taichong)",Bu Zhong Yi Qi Tang (Qi deficiency fatigue) | Gui Pi Tang (overthinking/overwork) | Shi Quan Da Bu Tang (Qi-Blood deficiency),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I forget to blink while focusing on work, what can I do in the next 5 minutes?","Look away from the screen, close your eyes for 10 seconds, then open and blink slowly 10 times to re‑moisten and relax your eyes.""aoa+1​","GV20 (Baihui), GV24 (Shenting), Yintang, PC6 (Neiguan), ST36 (Zusanli), SP6 (Sanyinjiao)",Bu Nao Wan (cognitive support) | Tian Wang Bu Xin Dan (Heart-Kidney disharmony) | Si Jun Zi Tang (if Spleen Qi deficiency),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When the glare on my monitor bothers me, what can I do in the next 5 minutes?","Tilt or move the screen to reduce reflections, close blinds if needed, and match screen brightness roughly to the room lighting.""oxfordfamilyvisioncare+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my eyes burn by late afternoon, what can I do in the next 5 minutes?","Take a brief eye break: cup your warm palms gently over closed eyes without pressing and rest there for 30–60 seconds while breathing slowly.""eizoglobal+1​","BL1 (Jingming), BL2 (Zanzhu), Taiyang, ST2 (Sibai), GB20 (Fengchi), LV3 (Taichong)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I jump straight from one meeting to another, what can I do in the next 5 minutes?","Use the gap to stand, stretch your chest by clasping hands behind your back, take 5 deep breaths, and drink a few sips of water before joining.""mutualofomaha+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When back‑to‑back meetings drain me, what can I do in the next 5 minutes?","Turn away from the screen, do gentle neck rolls, roll your wrists and ankles, and take at least 10 conscious breaths before your next call.""ahead-app+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel on the verge of burnout at my desk, what can I do in the next 5 minutes?","Pause multitasking, close excess tabs, place your hands on your belly, and breathe slowly while reminding yourself that one small step at a time is enough.""franciscanhealth+1​","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Bu Zhong Yi Qi Tang (severe Qi deficiency) | Shi Quan Da Bu Tang (Qi-Blood exhaustion) | Gui Pi Tang (mental exhaustion),⚠️ Pregnant/nursing women: Consult qualified TCM practitioner before using any herbal formulas. Acupressure points generally safe when applied gently.
"When I cannot stop thinking about work during lunch, what can I do in the next 5 minutes?","Step away from your desk, eat without screens for a few minutes, and pay attention to the taste and texture of your food to reset your mind.""psychologytoday+1​","ST36 (Zusanli), CV12 (Zhongwan), PC6 (Neiguan), SP6 (Sanyinjiao), ST25 (Tianshu)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I carry work tension in my wrists and forearms, what can I do in the next 5 minutes?","Extend one arm, gently pull back on your fingers to stretch the forearm, hold 10–15 seconds, then switch sides and repeat a few times.""mentalhealthblogger+1​","LI4 (Hegu), LI11 (Quchi), PC6 (Neiguan), PC7 (Daling), SJ5 (Waiguan), LU9 (Taiyuan)",Xiao Yao San (Liver Qi stagnation tension) | Ge Gen Tang (neck-shoulder tension) | Juan Bi Tang (if chronic),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my hands feel cramped from typing, what can I do in the next 5 minutes?","Shake out your hands, rotate your wrists in circles 10 times each way, and gently massage the base of your thumbs and palms.""ahead-app+1​","LI4 (Hegu), LI11 (Quchi), PC6 (Neiguan), PC7 (Daling), SJ5 (Waiguan), LU9 (Taiyuan)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel stuck in ‘fight or flight’ at work, what can I do in the next 5 minutes?","Practice box breathing: inhale 4 seconds, hold 4, exhale 4, hold 4, repeating for a few minutes while relaxing your shoulders.""mutualofomaha+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my concentration is shattered by notifications, what can I do in the next 5 minutes?","Silence non‑urgent alerts, close messaging windows, and set a 25‑minute focus block followed by a 5‑minute movement or breathing break.""franciscanhealth+1​","GV20 (Baihui), GV24 (Shenting), Yintang, PC6 (Neiguan), ST36 (Zusanli), SP6 (Sanyinjiao)",Bu Nao Wan (cognitive support) | Tian Wang Bu Xin Dan (Heart-Kidney disharmony) | Si Jun Zi Tang (if Spleen Qi deficiency),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I dread opening my inbox in the morning, what can I do in the next 5 minutes?","Take 5 slow breaths first, then scan and flag only what truly needs attention today, leaving the rest for a scheduled email block.""psychologytoday+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I arrive at work already tense from the commute, what can I do in the next 5 minutes?","Before starting tasks, sit at your desk, place both feet on the floor, inhale deeply through your nose, exhale with a sigh, and repeat 5–10 times.""howtohyggethebritishway+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my commute home is on public transport, what can I do in the next 10 minutes?","Put work away, listen to calming music or a podcast you enjoy, and focus on relaxing your jaw, shoulders, and belly while you ride.""beyourownsunshinee+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I drive home feeling wired, what can I do in the next 10 minutes?","Turn off work calls, play music that helps you unwind, take slower breaths at red lights, and mentally list three things you’re leaving at work today.""bethkanter+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I walk home from work, what can I do in the next 10 minutes?","Use the first part of the walk to notice your breath and posture, and the last part to notice sounds, smells, and sights instead of replaying work conversations.""howtohyggethebritishway+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I work from home and have no commute, what can I do in the next 10 minutes?","Create a ‘fake commute’: after work, take a short walk outside or around the block, then re‑enter your home as if arriving from the office.""bethkanter+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I step through my front door still thinking about work, what can I do in the next 5 minutes?","Change out of work clothes, wash your hands and face, and take three deep breaths to mark that you are now in personal time, not work time.""beyourownsunshinee+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I have trouble switching off work mode in the evening, what can I do in the next 10 minutes?","Set a small ritual like making tea, lighting a candle, or stretching for a few minutes that you do every day right after finishing work tasks.""reallifeofanmsw+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I respond to emails late at night, what can I do in the next 5 minutes?","Set email to do‑not‑disturb after a certain hour, log out from your work account, and choose a calming activity to replace ‘just one more email.’""beyourownsunshinee+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I bring work thoughts into bed, what can I do in the next 5 minutes?","Keep a notepad by your bed, write down any lingering work worries or tasks, close the notebook, and tell yourself they belong to tomorrow’s you.""bethkanter+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel guilty for resting after work, what can I do in the next 5 minutes?","Remind yourself that rest protects performance, take 10 slow breaths, and choose one small, genuinely enjoyable, non‑work activity for the evening.""mutualofomaha+1​","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), SP6 (Sanyinjiao), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I notice Sunday night dread building, what can I do in the next 10 minutes?","Plan a gentle Monday morning start, list just a few key tasks, and schedule something pleasant for Sunday evening that is not work‑related.""howtohyggethebritishway+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my body feels ‘buzzed’ after a long day, what can I do in the next 10 minutes?","At home, take a warm shower, breathe slowly, and imagine the water rinsing off the stress of the day as you transition into rest time.""howtohyggethebritishway+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my calendar is crammed with back‑to‑back meetings all week, what can I do in the next 10 minutes?","Scan your schedule, block small 5‑minute buffers between meetings where possible, and protect at least one no‑meeting focus block.""franciscanhealth+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel that my workdays are all blur and no pause, what can I do in the next 5 minutes?","Schedule two or three 5‑minute micro‑breaks in your calendar, and during each, step away from the screen and do quick stretching or breathing.""vantagefit+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When my eyes and head hurt at the end of the day, what can I do in the next 5 minutes?","Adjust your chair so feet are flat and knees at 90 degrees, position the screen about an arm’s length away, and apply the 20‑20‑20 rule for your eyes.""focuswestoptometry+1​","BL1 (Jingming), BL2 (Zanzhu), Taiyang, ST2 (Sibai), GB20 (Fengchi), LV3 (Taichong)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I scroll my phone as soon as I leave work, what can I do in the next 10 minutes?","Delay checking your phone, look around your environment instead, and take a few slower breaths to let your nervous system drop a gear.""beyourownsunshinee+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",Xiao Yao San (Liver Qi stagnation from work stress) | Gan Mai Da Zao Tang (emotional stress) | Bu Zhong Yi Qi Tang (if fatigued),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel irritable as I walk in the door at home, what can I do in the next 5 minutes?","Pause before engaging, take 5–10 deep breaths alone in the hallway or car, and set an intention like ‘I want to arrive present, not just exhausted.’""howtohyggethebritishway+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I suspect I am burning out, what can I do in the next 10 minutes?","Notice the signs without judgment, write down how stress shows up in your body and schedule, and choose one small boundary or rest habit to start this week.""mutualofomaha+1​","LI4 (Hegu), PC6 (Neiguan), GV20 (Baihui), LV3 (Taichong), ST36 (Zusanli), HT7 (Shenmen)",N/A - Self-care technique; consult TCM practitioner for personalized formula if symptoms persist,"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
"When I feel overwhelmed by multiple deadlines, what can I do in the next 5 minutes?","Write down all tasks, prioritize the top 3, and focus only on the single most urgent one right now while breathing slowly.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LV3 (Taichong), ST36 (Zusanli)",Xiao Yao San (Liver Qi stagnation with stress) | Chai Hu Long Gu Mu Li Tang (severe anxiety) | Suan Zao Ren Tang (anxiety with insomnia),"✓ Self-care techniques generally safe during pregnancy; avoid strong pressure on certain points (SP6, LI4)"
