Category,Topic,Recommendation,Practical Tips,Safety Notes,acupuncture_points,pharmacopeia
Cognitive Health,Mental Stimulation,Engage brain daily with challenging activities,"Puzzles, reading, learning new skills, strategy games, writing","Consult doctor for memory loss, confusion, getting lost","DU-20 (Baihui), GB-39 (Xuanzhong), KI-3 (Taixi), HT-7 (Shenmen), Sishencong (Extra)",Bu Nao Wan (Nourish Brain Pill) plus Liu Wei Di Huang Wan
Cognitive Health,Lifelong Learning,Continue education through classes and programs,"Community college, online courses, library programs, museum training",,"DU-20 (Baihui), HT-7 (Shenmen), PC-6 (Neiguan), ST-36 (Zusanli), GB-39 (Xuanzhong)","Kai Xin San (Open Heart Powder) - Ren Shen, Fu Ling, Shi Chang Pu, Yuan Zhi"
Cognitive Health,Memory Strategies,Use practical techniques for memory support,"Calendars, routines, smartphone reminders, organized spaces",,"DU-20 (Baihui), KI-3 (Taixi), HT-7 (Shenmen), BL-23 (Shenshu), Sishencong",Gui Pi Tang (Restore Spleen) plus Ren Shen
Diet & Nutrition,Balanced Diet,Follow Mediterranean-style eating pattern,"3-5 vegetables, 2-3 fruits, whole grains, lean protein, healthy fats",,"ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), BL-20 (Pishu), BL-21 (Weishu)",Si Jun Zi Tang (Four Gentlemen) for digestive strength
Diet & Nutrition,Protein & Calcium,"1.0-1.2g protein per kg body weight, 1200mg calcium","Protein at every meal, dairy, fortified foods, supplements if needed",,"KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli), BL-11 (Dazhu), GB-39 (Xuanzhong)",Zuo Gui Wan (Restore Left Kidney) for essence and bone strength
Diet & Nutrition,Reduce Processed,"Minimize processed foods, sugar, sodium","Under 2300mg sodium, limit added sugars, avoid trans fats",,"ST-36 (Zusanli), SP-9 (Yinlingquan), REN-12 (Zhongwan), LV-3 (Taichong)",Bao He Wan (Preserve Harmony Pill) for food stagnation prevention
Emotional Health,Depression & Anxiety,Recognize and treat (not normal aging),"Exercise, social connection, therapy, medication if needed","Seek help for suicidal thoughts, persistent hopelessness","HT-7 (Shenmen), PC-6 (Neiguan), LV-3 (Taichong), DU-20 (Baihui), Yintang","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) plus Xiao Yao San"
Emotional Health,Stress Management,Develop healthy coping mechanisms,"Deep breathing, meditation, nature, music, limit news",,"PC-6 (Neiguan), HT-7 (Shenmen), LV-3 (Taichong), Yintang, DU-20 (Baihui)",Xiao Yao San (Free and Easy Wanderer)
Emotional Health,Purpose & Joy,Find meaning through contribution and passion,"Volunteer, mentor, creative hobbies, family engagement",,"HT-7 (Shenmen), REN-17 (Danzhong), PC-6 (Neiguan), ST-36 (Zusanli), DU-20 (Baihui)",Tian Wang Bu Xin Dan (Emperor of Heaven Special Pill) for spirit nourishment
Exercise,Aerobic Exercise,150 min moderate weekly,"Walking, swimming, cycling, dancing, chair exercises","Consult doctor before starting, stop if pain/dizziness","ST-36 (Zusanli), LU-9 (Taiyuan), REN-17 (Danzhong), REN-6 (Qihai), KI-3 (Taixi)",Bu Zhong Yi Qi Tang (Tonify Middle Augment Qi) for endurance
Exercise,Strength Training,2-3 times weekly,"Resistance bands, light weights, body weight exercises",,"ST-36 (Zusanli), GB-34 (Yanglingquan), LV-8 (Ququan), BL-23 (Shenshu)",Jin Gui Shen Qi Wan (Kidney Qi Pill) for muscle strength
Exercise,Balance & Flexibility,Daily practice,"Tai Chi, yoga, standing balance, stretching",,"GB-39 (Xuanzhong), KI-3 (Taixi), LV-3 (Taichong), ST-36 (Zusanli), BL-23 (Shenshu)",Du Huo Ji Sheng Tang (Angelica Pubescens) for flexible joints
Family Relations,Family Bonds,Regular contact and connection,"Phone/video calls, family events, share stories and history",,"HT-7 (Shenmen), PC-6 (Neiguan), REN-17 (Danzhong), LV-3 (Taichong)",Xiao Yao San (Free and Easy Wanderer) for emotional harmony
Family Relations,Grandparenting,Build meaningful relationships with grandchildren,"Respect parents' rules, create traditions, teach skills, record memories",,"HT-7 (Shenmen), KI-3 (Taixi), ST-36 (Zusanli), REN-6 (Qihai), PC-6 (Neiguan)",Gui Pi Tang (Restore Spleen) for patience and energy
Family Relations,Adult Children,Navigate changing dynamics with open communication,"Maintain independence, discuss preferences, accept help graciously",,"LV-3 (Taichong), PC-6 (Neiguan), HT-7 (Shenmen), GB-34 (Yanglingquan)",Xiao Yao San (Free and Easy Wanderer) for adaptability
Financial Security,Budget Management,Create realistic budget on fixed income,"Track sources and expenses, seek discounts, consider downsizing",,"HT-7 (Shenmen), PC-6 (Neiguan), SP-6 (Sanyinjiao), LV-3 (Taichong)",Suan Zao Ren Tang (Sour Jujube) for calm decision-making
Financial Security,Fraud Prevention,Protect against scams,"Never share personal info unsolicited, hang up on scams, shred documents",Report fraud to police and Adult Protective Services,"DU-20 (Baihui), HT-7 (Shenmen), Yintang, PC-6 (Neiguan), GB-20 (Fengchi)",Kai Xin San (Open Heart) for mental clarity and vigilance
Financial Security,Assistance Programs,Access available benefits,"Medicare Extra Help, SNAP, LIHEAP, property tax relief",,"HT-7 (Shenmen), ST-36 (Zusanli), PC-6 (Neiguan), LV-3 (Taichong)",Bu Zhong Yi Qi Tang (Tonify Middle) for confidence to seek help
Healthcare,Preventive Care,Regular screenings and check-ups,"Annual physical, BP, cholesterol, diabetes, cancer screenings",,"ST-36 (Zusanli), LI-4 (Hegu), REN-6 (Qihai), BL-23 (Shenshu), DU-14 (Dazhui)",Yu Ping Feng San (Jade Windscreen) for disease prevention
Healthcare,Vaccinations,Stay current on vaccines,"Annual flu, COVID boosters, pneumonia, shingles, Tdap, RSV",,"LI-4 (Hegu), LI-11 (Quchi), ST-36 (Zusanli), LU-7 (Lieque), DU-14 (Dazhui)",Yu Ping Feng San (Jade Windscreen) to support immune response
Healthcare,Chronic Disease,Active disease management,"Track vitals, symptom diary, follow treatment, attend appointments",,"ST-36 (Zusanli), REN-6 (Qihai), KI-3 (Taixi), BL-23 (Shenshu), BL-20 (Pishu)",Pattern-specific - commonly Bu Zhong Yi Qi Tang or Jin Gui Shen Qi Wan
Sleep,Sleep Hygiene,7-8 hours nightly,"Consistent schedule, dark/cool room, limit naps, avoid screens",,"HT-7 (Shenmen), Anmian (Extra), KI-6 (Zhaohai), SP-6 (Sanyinjiao), Yintang",Suan Zao Ren Tang (Sour Jujube Decoction)
Sleep,Sleep Disorders,Address treatable conditions,"Treat sleep apnea, insomnia, restless legs","See doctor for snoring, insomnia 3+ nights weekly","HT-7 (Shenmen), Anmian, PC-6 (Neiguan), KI-6 (Zhaohai), BL-62 (Shenmai)",Tian Wang Bu Xin Dan (Emperor of Heaven) for chronic insomnia
Social Life,Social Connections,Maintain strong networks,"Weekly contact, senior center, clubs, volunteer, classes",,"HT-7 (Shenmen), PC-6 (Neiguan), ST-36 (Zusanli), LV-3 (Taichong), REN-17 (Danzhong)",Gui Pi Tang (Restore Spleen) for social energy
Social Life,Make New Friends,Cultivate new friendships,"Senior centers, religious groups, exercise classes, hobby groups",,"HT-7 (Shenmen), PC-6 (Neiguan), REN-17 (Danzhong), ST-36 (Zusanli)",Xiao Yao San (Free and Easy Wanderer) for openness
Technology,Digital Skills,Learn essential technology,"Smartphone, video calling, email, online banking, patient portals",,"DU-20 (Baihui), GB-39 (Xuanzhong), HT-7 (Shenmen), Yintang, Sishencong",Bu Nao Wan (Nourish Brain) for learning new skills
Technology,Learning Resources,Use available training,"Library classes, senior centers, Apple stores, YouTube, family",,"DU-20 (Baihui), HT-7 (Shenmen), PC-6 (Neiguan), ST-36 (Zusanli)",Kai Xin San (Open Heart) for receptiveness to learning
