Formula Name,Q&A (Questions and Answers),TCM Trigger Acupuncture Points,Pharmacopeia
Si Jun Zi Tang (Four Gentlemen Decoction),"Q: What does this formula treat? A: Qi deficiency with poor appetite, fatigue, pale complexion, weak pulse. Q: What are the key herbs? A: Ren Shen, Bai Zhu, Fu Ling, Zhi Gan Cao in equal proportions.","ST36, SP6, CV12, BL20, BL21","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Liu Jun Zi Tang (Six Gentlemen Decoction),"Q: What condition does this treat? A: Spleen and Stomach Qi deficiency with phlegm, poor appetite, nausea, fullness. Q: How is it different from Si Jun Zi Tang? A: Adds Chen Pi and Ban Xia to resolve phlegm and descend rebellious Qi.","ST36, CV12, PC6, SP4, BL20, BL21","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ba Zhen Tang (Eight Treasure Decoction),"Q: What does this formula address? A: Both Qi and Blood deficiency with fatigue, pale complexion, palpitations, dizziness. Q: What is its composition? A: Combines Si Jun Zi Tang (tonifies Qi) plus Si Wu Tang (nourishes Blood).","ST36, SP6, BL20, BL21, BL17, CV4, CV12","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Shi Quan Da Bu Tang (Perfect Major Supplementation Decoction),"Q: When is this formula indicated? A: Severe Qi and Blood deficiency after illness, surgery, or chronic disease with extreme fatigue, spontaneous sweating. Q: How does it differ from Ba Zhen Tang? A: Adds Huang Qi and Rou Gui for stronger tonification and warming.","ST36, SP6, CV4, CV6, BL20, BL21, BL23, GV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Bu Zhong Yi Qi Tang (Tonify the Middle and Augment the Qi Decoction),"Q: What pattern does this treat? A: Spleen Qi sinking with prolapse, chronic diarrhea, fatigue, shortness of breath. Q: What is the chief herb? A: Huang Qi (Astragalus) to tonify Qi and raise Yang.","ST36, CV12, GV20, CV6, BL20, BL21, SP6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xiao Yao San (Free and Easy Wanderer Powder),"Q: What syndrome is this for? A: Liver Qi stagnation with Spleen deficiency causing depression, irritability, breast distention, irregular menses. Q: What are the key therapeutic actions? A: Spreads Liver Qi, strengthens Spleen, nourishes Blood.","LR3, LR14, GB34, ST36, SP6, PC6, CV17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Gui Pi Tang (Restore the Spleen Decoction),"Q: What is the main indication? A: Heart and Spleen deficiency with insomnia, palpitations, poor memory, anxiety, bleeding disorders. Q: What organ systems does it treat? A: Tonifies Heart and Spleen, nourishes Blood, calms Spirit.","HT7, SP6, ST36, CV4, CV12, BL20, BL15","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill),"Q: What does this famous formula treat? A: Kidney Yin deficiency with night sweats, hot flashes, tinnitus, lower back soreness, dizziness. Q: What is its historical origin? A: Developed by Qian Yi in Song Dynasty (c.1119 CE) from Jin Gui Shen Qi Wan.","KI3, KI6, SP6, BL23, CV4, LR3, KI7","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Zuo Gui Wan (Restore the Left [Kidney] Pill),"Q: What condition does this address? A: Severe Kidney Yin deficiency with seminal emission, night sweats, dizziness, weak legs, dry mouth. Q: How does it work? A: Strongly nourishes Kidney Yin and Essence without being cloying.","KI3, KI6, SP6, BL23, BL52, CV4, LR8","Chinese Pharmacopoeia 2020 Edition, Vol. I"
You Gui Wan (Restore the Right [Kidney] Pill),"Q: What pattern is indicated? A: Kidney Yang deficiency with cold limbs, impotence, infertility, lower back pain, frequent urination. Q: What is the primary action? A: Warms and tonifies Kidney Yang and Essence.","KI3, BL23, GV4, CV4, ST36, KI7, CV6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Jin Gui Shen Qi Wan (Kidney Qi Pill from the Golden Cabinet),"Q: What syndrome does this treat? A: Kidney Yang deficiency with lower back pain, weak legs, frequent urination, edema. Q: What classical text is it from? A: Jin Gui Yao Lue (Essential Prescriptions of the Golden Cabinet) by Zhang Zhong-Jing.","KI3, BL23, GV4, CV4, ST36, SP6, CV9","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ma Huang Tang (Ephedra Decoction),"Q: When is this formula used? A: Wind-Cold exterior excess with fever, chills, no sweating, body aches, wheezing. Q: What is the mechanism? A: Releases exterior, promotes sweating, disperses cold, stops wheezing.","LU7, LI4, BL12, BL13, GV14, LI20","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Gui Zhi Tang (Cinnamon Twig Decoction),"Q: What pattern does this address? A: Wind-Cold exterior deficiency with fever, chills, sweating, stiff neck, aversion to wind. Q: Which classical text is this from? A: Shang Han Lun (Treatise on Cold Damage) by Zhang Zhong-Jing, considered the most important formula in TCM.","LU7, LI4, BL12, GB20, SI3, BL62","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Yin Qiao San (Honeysuckle and Forsythia Powder),"Q: What does this treat? A: Wind-Heat exterior with fever, slight chills, sore throat, thirst, red tongue. Q: What are the chief herbs? A: Jin Yin Hua (Honeysuckle) and Lian Qiao (Forsythia) to clear Heat and release exterior.","LI4, LI11, LU7, LU10, SJ5, GV14","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Sang Ju Yin (Mulberry Leaf and Chrysanthemum Drink),"Q: What condition is this for? A: Wind-Heat affecting the Lungs with cough, slight fever, thirst, dry throat. Q: How is it different from Yin Qiao San? A: Milder, focuses more on upper respiratory symptoms and cough.","LU7, LU5, LI4, ST40, BL13, LU1","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xiao Chai Hu Tang (Minor Bupleurum Decoction),"Q: What pattern does this treat? A: Shao Yang stage disorder with alternating fever and chills, bitter taste, irritability, hypochondriac pain. Q: What is its function? A: Harmonizes Shao Yang, releases pathogen from half-exterior half-interior.","GB34, SJ6, LR14, PC6, ST36, GB41, SJ5","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Da Chai Hu Tang (Major Bupleurum Decoction),"Q: When is this indicated? A: Shao Yang and Yang Ming combination with fever, constipation, irritability, hypochondriac fullness. Q: What does it do? A: Harmonizes Shao Yang and purges Yang Ming excess.","GB34, SJ6, LR14, ST25, ST37, LI4, ST44","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Huo Xiang Zheng Qi San (Agastache Powder to Rectify the Qi),"Q: What syndrome is this for? A: Summer-Heat and Dampness with nausea, vomiting, diarrhea, headache, fatigue. Q: What is the therapeutic action? A: Releases exterior, transforms Dampness, regulates Qi, harmonizes Middle Jiao.","CV12, ST36, PC6, SP9, SP6, ST25, LI4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Er Chen Tang (Two-Cured Decoction),"Q: What does this formula treat? A: Phlegm-Dampness with cough, copious sputum, nausea, focal distention. Q: Why is it called 'Two-Cured'? A: Uses aged Chen Pi and Ban Xia (both aged/cured to reduce toxicity).","ST40, CV12, PC6, LU5, SP9, BL20","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Wen Dan Tang (Warm the Gallbladder Decoction),"Q: What condition does this address? A: Gallbladder-Stomach disharmony with phlegm-Heat causing insomnia, anxiety, nausea, palpitations. Q: What is its mechanism? A: Clears Gallbladder, transforms phlegm, harmonizes Stomach.","GB40, PC6, ST40, HT7, CV12, GB34","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ban Xia Xie Xin Tang (Pinellia Decoction to Drain the Epigastrium),"Q: What pattern is this for? A: Cold and Heat in Middle Jiao with epigastric focal distention, nausea, diarrhea with foul odor. Q: What does it do? A: Harmonizes Stomach, descends rebellious Qi, disperses focal distention.","CV12, PC6, ST36, ST25, CV10, ST21","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xiao Jian Zhong Tang (Minor Construct the Middle Decoction),"Q: What does this treat? A: Middle Jiao deficiency-Cold with abdominal pain, preference for warmth and pressure, fatigue. Q: What is the chief herb? A: Yi Tang (Maltose) to warm and tonify Middle Jiao urgently.","CV12, ST36, BL20, BL21, SP6, CV6","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Li Zhong Wan (Regulate the Middle Pill),"Q: What syndrome is indicated? A: Spleen-Stomach Yang deficiency with cold limbs, abdominal pain, vomiting, diarrhea with undigested food. Q: What is the therapeutic principle? A: Warms Middle Jiao, strengthens Spleen, dispels Cold.","CV12, ST36, CV6, BL20, BL21, ST25","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xiang Sha Liu Jun Zi Tang (Aucklandia and Amomum Six Gentlemen Decoction),"Q: What does this formula address? A: Spleen Qi deficiency with Qi stagnation causing poor appetite, bloating, nausea. Q: How is it modified? A: Adds Mu Xiang and Sha Ren to Liu Jun Zi Tang to regulate Qi and prevent stagnation from tonics.","CV12, ST36, PC6, SP4, BL20, LR13","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Gui Zhi Fu Ling Wan (Cinnamon Twig and Poria Pill),"Q: What condition does this treat? A: Blood stasis in Lower Jiao with abdominal masses, dysmenorrhea, purple tongue with dark spots. Q: What does it do? A: Invigorates Blood, dispels stasis, reduces masses.","SP10, SP6, LR3, ST29, CV3, BL17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Tao Hong Si Wu Tang (Persica and Carthamus Four Substances Decoction),"Q: What pattern is this for? A: Blood deficiency with Blood stasis causing irregular menses, dysmenorrhea, amenorrhea. Q: What is its composition? A: Si Wu Tang plus Tao Ren and Hong Hua to invigorate Blood more strongly.","SP10, SP6, LR3, BL17, ST29, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Xue Fu Zhu Yu Tang (Drive Out Stasis from the Mansion of Blood Decoction),"Q: What does this treat? A: Blood stasis in chest with chest pain, palpitations, chronic headache, hiccups, insomnia. Q: Where is the 'Blood Mansion'? A: Refers to the chest/thorax where Heart governs Blood.","PC6, BL17, CV17, LR3, SP10, HT7","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Shao Fu Zhu Yu Tang (Drive Out Blood Stasis from the Lower Abdomen Decoction),"Q: What syndrome is indicated? A: Cold-type Blood stasis in Lower Jiao with dysmenorrhea, abdominal masses, cold lower abdomen. Q: What is the mechanism? A: Warms channels, invigorates Blood, dispels stasis, alleviates pain.","SP10, SP6, CV3, ST29, LR3, SP8","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Bu Yang Huan Wu Tang (Tonify the Yang to Restore Five[-Tenths] Decoction),"Q: What does this formula treat? A: Sequelae of stroke with hemiplegia, facial paralysis, slurred speech, deviation of mouth and eye due to Qi deficiency and Blood stasis. Q: Why 'Five-Tenths'? A: Refers to restoring five-tenths of normal Yang Qi function.","ST36, GB34, LI4, LI11, LR3, BL17, GV20","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Dang Gui Si Ni Tang (Tangkuei Decoction for Frigid Extremities),"Q: What pattern does this address? A: Blood deficiency with Cold blocking channels causing cold hands and feet, pain in extremities. Q: What does it do? A: Warms channels, disperses Cold, nourishes Blood, unblocks vessels.","SP6, ST36, LR3, KI3, LI4, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Si Wu Tang (Four Substances Decoction),"Q: What is this fundamental formula for? A: Blood deficiency with pale complexion, dizziness, irregular menses, dry skin, pale tongue. Q: Why is it so important? A: Foundation formula for nourishing Blood, basis for many other formulas.","SP6, BL17, BL20, ST36, LR3, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Dang Gui Bu Xue Tang (Tangkuei Decoction to Tonify the Blood),"Q: What condition does this treat? A: Qi and Blood deficiency following blood loss with fever, thirst, red face, large but empty pulse. Q: What is unique about it? A: Uses 5:1 ratio of Huang Qi to Dang Gui, generating Blood by tonifying Qi.","ST36, SP6, LI4, CV4, BL20, BL17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Sheng Mai San (Generate the Pulse Powder),"Q: What does this formula treat? A: Qi and Yin deficiency with profuse sweating, shortness of breath, thirst, dry mouth, weak pulse. Q: What are the three ingredients? A: Ren Shen, Mai Men Dong, Wu Wei Zi to tonify Qi, generate fluids, preserve Yin.","LU9, HT7, PC6, LU5, BL13, CV17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Mai Men Dong Tang (Ophiopogonis Decoction),"Q: What pattern is this for? A: Lung and Stomach Yin deficiency with dry cough, scanty sticky sputum, dry throat, poor appetite. Q: What is the mechanism? A: Nourishes Lung and Stomach Yin, descends rebellious Qi, stops cough.","LU5, LU9, ST36, CV12, KI6, LU1","Chinese Pharmacopoeia 2020 Edition, Vol. I"
"Zhi Bai Di Huang Wan (Anemarrhena, Phellodendron, and Rehmannia Pill)","Q: What syndrome does this address? A: Kidney Yin deficiency with Empty Fire causing night sweats, hot flashes, nocturnal emission, tinnitus. Q: How is it modified? A: Liu Wei Di Huang Wan plus Zhi Mu and Huang Bai to clear deficiency Fire.","KI3, KI6, KI2, BL23, SP6, LR3, CV4","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Qing Hao Bie Jia Tang (Artemisia Annua and Soft-Shelled Turtle Shell Decoction),"Q: What does this treat? A: Late-stage febrile disease with Yin deficiency and residual Heat causing night fever, no sweating. Q: What is the action? A: Nourishes Yin, clears residual Heat from deeper levels.","KI6, LI11, PC5, SP6, LU10, GV14","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Yu Ping Feng San (Jade Windscreen Powder),"Q: What condition is this for? A: Protective Qi (Wei Qi) deficiency with spontaneous sweating, recurrent colds, aversion to wind. Q: How does it work? A: Tonifies Qi, stabilizes exterior, prevents invasion of external pathogens.","LU9, LI4, ST36, BL13, KI7, CV17","Chinese Pharmacopoeia 2020 Edition, Vol. I"
"Shen Ling Bai Zhu San (Ginseng, Poria, and Atractylodis Macrocephalae Powder)","Q: What pattern does this treat? A: Spleen Qi deficiency with Dampness causing loose stools, poor appetite, fatigue, abdominal distention. Q: What does it do? A: Tonifies Spleen Qi, resolves Dampness, stops diarrhea.","ST36, SP6, SP9, CV12, BL20, BL21","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ping Wei San (Calm the Stomach Powder),"Q: What syndrome is indicated? A: Dampness obstructing Middle Jiao with epigastric fullness, poor appetite, heavy limbs, thick tongue coating. Q: What is the mechanism? A: Dries Dampness, strengthens Spleen, moves Qi.","CV12, ST36, PC6, SP9, SP6, BL20","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Wu Ling San (Five Ingredient Powder with Poria),"Q: What does this formula treat? A: Water accumulation with edema, urinary difficulty, thirst, possibly diarrhea or vomiting. Q: What is the action? A: Promotes urination, drains Dampness, warms Yang, transforms Qi.","SP9, CV9, BL22, BL28, ST28, KI7","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Zhu Ling Tang (Polyporus Decoction),"Q: What condition does this address? A: Heat and Dampness in Lower Jiao with difficult urination, thirst, fever, irritability. Q: How does it work? A: Promotes urination, clears Heat, nourishes Yin.","SP9, CV3, BL28, KI6, SP6, CV9","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Ba Zheng San (Eight Herb Powder for Rectification),"Q: What pattern is this for? A: Damp-Heat in Bladder with painful, difficult urination, dark urine, urgency, burning sensation. Q: What does it do? A: Clears Heat, promotes urination, drains Dampness from Lower Jiao.","CV3, BL28, SP9, SP6, LR8, KI2","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Long Dan Xie Gan Tang (Gentian Drain the Liver Decoction),"Q: What syndrome does this treat? A: Liver-Gallbladder Damp-Heat with irritability, red eyes, bitter taste, hypochondriac pain, yellow vaginal discharge, burning urination. Q: What is the mechanism? A: Drains Liver-Gallbladder Fire, clears Damp-Heat from Lower Jiao.","LR2, GB34, LR5, SP9, BL18, BL19, LR8","Chinese Pharmacopoeia 2020 Edition, Vol. I"
Gan Mao Ling (Common Cold Effective Remedy),"Q: What does this modern formula treat? A: Early-stage common cold with fever, sore throat, headache, body aches from Wind-Heat or Wind-Cold. Q: What makes it popular? A: Broad-spectrum antiviral effects, convenient patent pill form, rapid relief.","LI4, LI11, GV14, LU7, SJ5, GB20",Modern Chinese Patent Medicine Formulary
Yin Qiao Jie Du Pian (Honeysuckle and Forsythia Antiphlogistic Tablet),"Q: What is this patent medicine for? A: Wind-Heat pattern with fever, sore throat, thirst, early-stage influenza or upper respiratory infection. Q: How is it used? A: Convenient tablet form of classical Yin Qiao San formula.","LI4, LI11, LU7, LU10, SJ5, GV14","Chinese Pharmacopoeia 2020 Edition, Vol. I"
