Category,Chief_Complaint,TCM_Pattern,Common_Symptoms,Acupuncture_Points,Herbal_Formula
Pain,Headache - Frontal,Yangming Stomach Heat; Spleen Qi Deficiency,"Forehead pain, heavy sensation, digestive issues, fatigue after eating","ST8 (Touwei), ST44 (Neiting), LI4 (Hegu), Yintang","Bai Zhi, Ge Gen Tang"
Pain,Headache - Temporal,Shaoyang Gallbladder Fire; Liver Yang Rising,"Side head pain, irritability, bitter taste, alternating chills/fever","GB8 (Shuaigu), GB20 (Fengchi), SJ5 (Waiguan), LR3 (Taichong)","Xiao Chai Hu Tang, Tian Ma Gou Teng Yin"
Pain,Headache - Vertex,Liver Blood Deficiency; Jueyin Cold,"Top of head pain, dizziness, blurred vision, cold sensation","GV20 (Baihui), LR3 (Taichong), BL67 (Zhiyin), KI1 (Yongquan)","Wu Zhu Yu Tang, Si Wu Tang"
Pain,Headache - Occipital,Taiyang Bladder Cold; Kidney Deficiency,"Back of head/neck pain, stiffness, aversion to cold, low back weakness","BL10 (Tianzhu), GB20 (Fengchi), SI3 (Houxi), BL60 (Kunlun)","Ge Gen Tang, You Gui Wan"
Pain,Migraine,Liver Yang Rising; Blood Stasis; Phlegm,"Severe one-sided pain, nausea, light sensitivity, aura","GB20 (Fengchi), Taiyang, LR3 (Taichong), GB41 (Zulinqi)","Tian Ma Gou Teng Yin, Xue Fu Zhu Yu Tang"
Pain,Neck Pain - Acute,Wind-Cold Invasion; Qi Stagnation,"Stiff neck, limited ROM, pain worse with cold, sudden onset","GB20 (Fengchi), GB21 (Jianjing), SI3 (Houxi), BL10 (Tianzhu)","Ge Gen Tang, Qiang Huo Sheng Shi Tang"
Pain,Neck Pain - Chronic,Blood Stasis; Kidney Deficiency; Bi Syndrome,"Chronic stiffness, grinding, numbness to arms, weakness","GB20 (Fengchi), Jiaji points, SI3 (Houxi), BL11 (Dazhu)","Du Huo Ji Sheng Tang, Shen Tong Zhu Yu Tang"
Pain,Shoulder Pain,Qi-Blood Stagnation; Wind-Damp Bi,"Pain with movement, limited ROM, worse at night, local tenderness","LI15 (Jianyu), SJ14 (Jianliao), SI9 (Jianzhen), LI4 (Hegu)","Juan Bi Tang, Shen Tong Zhu Yu Tang"
Pain,Upper Back Pain,Qi Stagnation; Blood Stasis; Wind-Cold,"Pain between shoulder blades, tension, stress-related, breathing difficulty","BL11-17 (Huatuojiaji), SI14 (Jianwaishu), GB21 (Jianjing)","Ge Gen Tang, Xue Fu Zhu Yu Tang"
Pain,Lower Back Pain - Acute,Qi-Blood Stagnation; Cold-Damp,"Sudden onset, spasm, limited movement, worse with cold/damp","BL23 (Shenshu), BL25 (Dachangshu), BL40 (Weizhong), GV3 (Yaoyangguan)","Du Huo Ji Sheng Tang, Shen Tong Zhu Yu Tang"
Pain,Lower Back Pain - Chronic,Kidney Deficiency; Blood Stasis,"Dull ache, weakness, fatigue, worse standing, better lying","BL23 (Shenshu), GV4 (Mingmen), KI3 (Taixi), BL40 (Weizhong)","You Gui Wan, Du Huo Ji Sheng Tang"
Pain,Sciatica,Blood Stasis; Wind-Damp Bi; Kidney Deficiency,"Radiating leg pain, numbness, weakness, worse sitting","GB30 (Huantiao), GB34 (Yanglingquan), BL54 (Zhibian), BL40 (Weizhong)","Du Huo Ji Sheng Tang, Shen Tong Zhu Yu Tang"
Pain,Knee Pain,Bi Syndrome; Kidney Deficiency; Blood Stasis,"Pain, swelling, stiffness, worse with weather changes","ST35 (Dubi), Xiyan, SP9 (Yinlingquan), GB34 (Yanglingquan)","Du Huo Ji Sheng Tang, Juan Bi Tang"
Pain,Hip Pain,Blood Stasis; Kidney Deficiency; Damp-Heat,"Deep ache, limited ROM, worse at night, radiating pain","GB30 (Huantiao), GB29 (Juliao), BL54 (Zhibian), GB34 (Yanglingquan)","Du Huo Ji Sheng Tang, Si Miao San"
Pain,Abdominal Pain,Qi Stagnation; Cold; Food Stagnation,"Cramping, bloating, relief with warmth or bowel movement","CV12 (Zhongwan), ST25 (Tianshu), ST36 (Zusanli), PC6 (Neiguan)","Xiao Yao San, Li Zhong Wan"
Pain,Menstrual Cramps,Blood Stasis; Cold in Uterus; Qi Stagnation,"Cramping before/during menses, clots, relief with warmth","SP6 (Sanyinjiao), CV4 (Guanyuan), LR3 (Taichong), SP8 (Diji)","Tao Hong Si Wu Tang, Wen Jing Tang"
Digestive,Acid Reflux/GERD,Stomach Heat; Liver Invading Stomach,"Burning sensation, sour regurgitation, worse after eating","CV12 (Zhongwan), PC6 (Neiguan), ST36 (Zusanli), LR3 (Taichong)","Zuo Jin Wan, Ban Xia Xie Xin Tang"
Digestive,Bloating/Gas,Spleen Qi Deficiency; Food Stagnation,"Distension after eating, fatigue, loose stools, poor appetite","CV12 (Zhongwan), ST36 (Zusanli), SP6 (Sanyinjiao), CV6 (Qihai)","Xiang Sha Liu Jun Zi Tang, Bao He Wan"
Digestive,Constipation,Heat; Qi Stagnation; Blood/Yin Deficiency,"Dry stools, straining, infrequent BM, abdominal fullness","ST25 (Tianshu), SJ6 (Zhigou), ST37 (Shangjuxu), LI4 (Hegu)","Ma Zi Ren Wan, Run Chang Wan"
Digestive,Diarrhea - Acute,Damp-Heat; Food Poisoning; Cold-Damp,"Urgent loose stools, cramping, fever, nausea","ST25 (Tianshu), ST37 (Shangjuxu), CV12 (Zhongwan), LI11 (Quchi)","Ge Gen Qin Lian Tang, Huo Xiang Zheng Qi San"
Digestive,Diarrhea - Chronic,Spleen Qi/Yang Deficiency; Kidney Yang Deficiency,"Dawn diarrhea, undigested food, cold limbs, fatigue","ST36 (Zusanli), SP3 (Taibai), CV12 (Zhongwan), BL20 (Pishu)","Shen Ling Bai Zhu San, Si Shen Wan"
Digestive,IBS - Mixed Pattern,Liver-Spleen Disharmony; Damp Accumulation,"Alternating constipation/diarrhea, stress-related, bloating","LR3 (Taichong), SP6 (Sanyinjiao), ST25 (Tianshu), CV12 (Zhongwan)","Tong Xie Yao Fang, Xiao Yao San"
Digestive,Nausea/Vomiting,Stomach Qi Rebellion; Phlegm-Damp; Liver Invading Stomach,"Nausea, vomiting, loss of appetite, epigastric fullness","PC6 (Neiguan), CV12 (Zhongwan), ST36 (Zusanli), LR3 (Taichong)","Ban Xia Xie Xin Tang, Xiao Ban Xia Tang"
Digestive,Poor Appetite,Spleen Qi Deficiency; Food Stagnation; Damp Accumulation,"No hunger, early satiety, fatigue, loose stools","CV12 (Zhongwan), ST36 (Zusanli), BL20 (Pishu), SP3 (Taibai)","Xiang Sha Liu Jun Zi Tang, Bao He Wan"
Respiratory,Common Cold - Wind-Cold,Wind-Cold Invasion,"Chills, clear runny nose, body aches, no sweating, white tongue coat","LU7 (Lieque), LI4 (Hegu), GB20 (Fengchi), BL12 (Fengmen)","Gui Zhi Tang, Ma Huang Tang"
Respiratory,Common Cold - Wind-Heat,Wind-Heat Invasion,"Fever, sore throat, yellow phlegm, thirst, yellow tongue coat","LI4 (Hegu), LI11 (Quchi), LU10 (Yuji), GB20 (Fengchi)","Yin Qiao San, Sang Ju Yin"
Respiratory,Cough - Acute,Wind-Cold/Heat; Phlegm-Damp,"Cough with phlegm, chest tightness, body aches","LU7 (Lieque), LU5 (Chize), CV22 (Tiantu), BL13 (Feishu)","Er Chen Tang, Zhi Sou San"
Respiratory,Cough - Chronic,Lung Yin Deficiency; Phlegm-Damp; Kidney Not Grasping Qi,"Dry cough, night cough, shortness of breath, weak voice","LU9 (Taiyuan), KI6 (Zhaohai), BL13 (Feishu), CV17 (Tanzhong)","Bai He Gu Jin Tang, Bu Fei Tang"
Respiratory,Allergic Rhinitis,Wei Qi Deficiency; Lung-Spleen Qi Deficiency,"Sneezing, runny nose, itchy eyes, seasonal triggers","LI4 (Hegu), LI20 (Yingxiang), GB20 (Fengchi), ST36 (Zusanli)","Yu Ping Feng San, Cang Er Zi San"
Respiratory,Sinusitis,Wind-Heat; Damp-Heat; Lung Heat,"Facial pain, congestion, thick yellow discharge, headache","LI20 (Yingxiang), Yintang, LI4 (Hegu), ST44 (Neiting)","Cang Er Zi San, Xin Yi San"
Respiratory,Asthma,Phlegm-Damp; Lung-Kidney Deficiency,"Wheezing, shortness of breath, chest tightness, trigger-related","CV17 (Tanzhong), LU7 (Lieque), Dingchuan, BL13 (Feishu)","Su Zi Jiang Qi Tang, Ding Chuan Tang"
Mental-Emotional,Anxiety,Heart Qi Deficiency; Liver Qi Stagnation; Phlegm-Fire,"Worry, palpitations, restlessness, chest tightness, insomnia","PC6 (Neiguan), HT7 (Shenmen), CV17 (Tanzhong), Yintang","Gui Pi Tang, Gan Mai Da Zao Tang"
Mental-Emotional,Depression,Liver Qi Stagnation; Heart-Spleen Deficiency,"Low mood, sighing, chest oppression, fatigue, poor appetite","LR3 (Taichong), LI4 (Hegu), CV17 (Tanzhong), GV20 (Baihui)","Xiao Yao San, Chai Hu Shu Gan San"
Mental-Emotional,Insomnia - Difficulty Falling Asleep,Heart-Kidney Disharmony; Liver Fire,"Racing mind, restlessness, palpitations, hot flashes","HT7 (Shenmen), KI6 (Zhaohai), SP6 (Sanyinjiao), Anmian","Tian Wang Bu Xin Dan, Suan Zao Ren Tang"
Mental-Emotional,Insomnia - Early Waking,Heart-Spleen Deficiency; Blood Deficiency,"Waking 3-5am, dream-disturbed sleep, fatigue, palpitations","HT7 (Shenmen), SP6 (Sanyinjiao), BL15 (Xinshu), BL20 (Pishu)","Gui Pi Tang, Yang Xin Tang"
Mental-Emotional,Stress/Burnout,Liver Qi Stagnation; Qi-Yin Deficiency,"Irritability, fatigue, tension, poor concentration, overwhelm","LR3 (Taichong), GB34 (Yanglingquan), GV20 (Baihui), CV6 (Qihai)","Xiao Yao San, Sheng Mai San"
Mental-Emotional,Panic Attacks,Heart Fire; Phlegm Misting Heart,"Sudden fear, palpitations, shortness of breath, sweating","PC6 (Neiguan), HT7 (Shenmen), GV20 (Baihui), KI1 (Yongquan)","Wen Dan Tang, An Shen Ding Zhi Wan"
Fatigue,General Fatigue,Spleen Qi Deficiency; Kidney Yang Deficiency,"Tiredness, weakness, poor appetite, cold limbs","ST36 (Zusanli), CV6 (Qihai), BL20 (Pishu), BL23 (Shenshu)","Bu Zhong Yi Qi Tang, Si Jun Zi Tang"
Fatigue,Chronic Fatigue Syndrome,Qi-Blood Deficiency; Spleen-Kidney Yang Deficiency,"Prolonged exhaustion, brain fog, muscle aches, unrefreshing sleep","ST36 (Zusanli), SP6 (Sanyinjiao), CV4 (Guanyuan), GV20 (Baihui)","Shi Quan Da Bu Tang, Bu Zhong Yi Qi Tang"
Fatigue,Post-Viral Fatigue,Qi Deficiency; Lingering Pathogen; Yin Deficiency,"Fatigue after illness, weakness, night sweats, low immunity","ST36 (Zusanli), LU9 (Taiyuan), CV6 (Qihai), BL13 (Feishu)","Yu Ping Feng San, Sheng Mai San"
Women's Health,Irregular Menstruation,Liver Qi Stagnation; Blood Deficiency; Kidney Deficiency,"Variable cycle length, PMS, breast tenderness, mood swings","SP6 (Sanyinjiao), LR3 (Taichong), CV4 (Guanyuan), ST36 (Zusanli)","Xiao Yao San, Ba Zhen Tang"
Women's Health,Heavy Menstruation,Spleen Qi Deficiency; Blood Heat; Blood Stasis,"Prolonged/heavy bleeding, clots, fatigue, dizziness","SP1 (Yinbai), SP6 (Sanyinjiao), CV4 (Guanyuan), ST36 (Zusanli)","Gui Pi Tang, Jiao Ai Tang"
Women's Health,Amenorrhea,Blood Deficiency; Kidney Deficiency; Qi-Blood Stagnation,"Absent periods, fatigue, low back pain, pale complexion","SP6 (Sanyinjiao), CV4 (Guanyuan), BL23 (Shenshu), ST36 (Zusanli)","Si Wu Tang, Wen Jing Tang"
Women's Health,Menopausal Symptoms,Kidney Yin Deficiency; Heart-Kidney Disharmony,"Hot flashes, night sweats, insomnia, mood swings, vaginal dryness","KI3 (Taixi), KI6 (Zhaohai), SP6 (Sanyinjiao), HT7 (Shenmen)","Liu Wei Di Huang Wan, Er Xian Tang"
Women's Health,Infertility,Kidney Deficiency; Blood Stasis; Phlegm-Damp,"Difficulty conceiving, irregular cycles, low back pain","CV4 (Guanyuan), Zigong, SP6 (Sanyinjiao), BL23 (Shenshu)","You Gui Wan, Wen Jing Tang"
Women's Health,PCOS,Phlegm-Damp; Kidney Yang Deficiency; Blood Stasis,"Irregular periods, weight gain, acne, hirsutism, cysts","SP6 (Sanyinjiao), ST40 (Fenglong), CV4 (Guanyuan), LR3 (Taichong)","Cang Fu Dao Tan Tang, Gui Shao Di Huang Tang"
Women's Health,Endometriosis,Blood Stasis; Cold in Uterus; Qi Stagnation,"Severe menstrual pain, heavy bleeding, infertility, pelvic pain","SP6 (Sanyinjiao), SP10 (Xuehai), CV4 (Guanyuan), LR3 (Taichong)","Ge Xia Zhu Yu Tang, Shao Fu Zhu Yu Tang"
Skin,Eczema/Dermatitis,Blood Heat; Damp-Heat; Blood Deficiency Wind,"Itching, redness, dry/weeping patches, worse with stress/heat","LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), LR3 (Taichong)","Xiao Feng San, Si Wu Xiao Feng Yin"
Skin,Acne,Lung-Stomach Heat; Damp-Heat; Blood Heat,"Pustules, inflammation, oily skin, especially on face/back","LI4 (Hegu), LI11 (Quchi), ST44 (Neiting), SP10 (Xuehai)","Pi Pa Qing Fei Yin, Wu Wei Xiao Du Yin"
Skin,Psoriasis,Blood Heat; Blood Stasis; Blood Dryness,"Thick scaly patches, silvery scales, itching, nail changes","SP10 (Xuehai), LI11 (Quchi), BL17 (Geshu), SP6 (Sanyinjiao)","Tu Fu Ling Tang, Xiao Feng San"
Skin,Urticaria/Hives,Wind-Heat; Wind-Cold; Blood Heat,"Itchy welts, sudden onset, may be triggered by foods/stress","LI4 (Hegu), SP10 (Xuehai), GB31 (Fengshi), LI11 (Quchi)","Xiao Feng San, Fang Feng Tong Sheng San"
Skin,Shingles/Herpes Zoster,Damp-Heat; Liver Fire; Blood Stasis,"Painful blisters along nerve path, burning, post-herpetic pain","LI11 (Quchi), SP10 (Xuehai), LR3 (Taichong), local Ashi points","Long Dan Xie Gan Tang, Chai Hu Shu Gan San"
Neurological,Dizziness/Vertigo,Liver Yang Rising; Phlegm-Damp; Kidney Deficiency,"Spinning sensation, nausea, tinnitus, worse with movement","GB20 (Fengchi), GV20 (Baihui), PC6 (Neiguan), LR3 (Taichong)","Tian Ma Gou Teng Yin, Ban Xia Bai Zhu Tian Ma Tang"
Neurological,Tinnitus,Kidney Deficiency; Liver Fire; Phlegm-Fire,"Ringing in ears, hearing loss, worse at night, dizziness","SJ17 (Yifeng), SJ21 (Ermen), GB2 (Tinghui), KI3 (Taixi)","Er Long Zuo Ci Wan, Long Dan Xie Gan Tang"
Neurological,Numbness/Tingling,Blood Stasis; Blood Deficiency; Phlegm-Damp Obstruction,"Pins and needles, numbness in limbs, worse at night","LI4 (Hegu), LI11 (Quchi), SP6 (Sanyinjiao), ST36 (Zusanli)","Bu Yang Huan Wu Tang, Shen Tong Zhu Yu Tang"
Neurological,Bell's Palsy,Wind-Cold/Heat Invasion; Qi-Blood Stasis,"Facial paralysis, drooping, difficulty closing eye, drooling","ST4 (Dicang), ST6 (Jiache), LI4 (Hegu), GB14 (Yangbai)","Qian Zheng San, Bu Yang Huan Wu Tang"
Neurological,Trigeminal Neuralgia,Wind-Heat; Liver Fire; Blood Stasis,"Severe facial pain, trigger zones, electric shock sensation","ST7 (Xiaguan), ST6 (Jiache), LI4 (Hegu), LR3 (Taichong)","Qing Shang Juan Tong Tang, Xue Fu Zhu Yu Tang"
Cardiovascular,Palpitations,Heart Qi/Blood Deficiency; Heart Fire; Phlegm Obstruction,"Awareness of heartbeat, anxiety, shortness of breath","HT7 (Shenmen), PC6 (Neiguan), CV17 (Tanzhong), BL15 (Xinshu)","Gui Pi Tang, Zhi Gan Cao Tang"
Cardiovascular,Hypertension,Liver Yang Rising; Kidney Yin Deficiency; Phlegm-Damp,"Headache, dizziness, irritability, red face, tinnitus","LR3 (Taichong), GB20 (Fengchi), ST36 (Zusanli), KI3 (Taixi)","Tian Ma Gou Teng Yin, Zhen Gan Xi Feng Tang"
Cardiovascular,Chest Oppression,Heart Qi Stagnation; Phlegm Obstruction; Blood Stasis,"Chest tightness, difficulty breathing, anxiety, palpitations","CV17 (Tanzhong), PC6 (Neiguan), HT7 (Shenmen), BL14 (Jueyinshu)","Gua Lou Xie Bai Ban Xia Tang, Xue Fu Zhu Yu Tang"
Urinary,Frequent Urination,Kidney Qi Deficiency; Damp-Heat; Spleen Qi Sinking,"Frequent urge, small amounts, worse at night, low back weakness","CV4 (Guanyuan), BL23 (Shenshu), KI3 (Taixi), SP6 (Sanyinjiao)","Jin Gui Shen Qi Wan, Suo Quan Wan"
Urinary,Urinary Tract Infection,Damp-Heat in Bladder; Kidney Yin Deficiency,"Burning urination, urgency, frequency, lower abdominal pain","CV3 (Zhongji), SP9 (Yinlingquan), SP6 (Sanyinjiao), BL28 (Pangguangshu)","Ba Zheng San, Dao Chi San"
Urinary,Incontinence,Kidney Yang Deficiency; Spleen Qi Sinking,"Leakage with cough/sneeze, frequent urination, weakness","CV4 (Guanyuan), GV20 (Baihui), BL23 (Shenshu), KI3 (Taixi)","Suo Quan Wan, Bu Zhong Yi Qi Tang"
Urinary,Kidney Stones,Damp-Heat; Qi Stagnation; Blood Stasis,"Flank pain, blood in urine, difficult urination, gravel","SP9 (Yinlingquan), CV3 (Zhongji), BL23 (Shenshu), KI3 (Taixi)","San Jin Tang, Shi Wei San"
Men's Health,Erectile Dysfunction,Kidney Yang Deficiency; Liver Qi Stagnation; Damp-Heat,"Difficulty achieving/maintaining erection, fatigue, low libido","CV4 (Guanyuan), BL23 (Shenshu), KI3 (Taixi), GV4 (Mingmen)","You Gui Wan, Wu Zi Yan Zong Wan"
Men's Health,Prostatitis,Damp-Heat; Blood Stasis; Kidney Deficiency,"Pelvic pain, urinary difficulty, frequent urination, low back pain","CV3 (Zhongji), SP6 (Sanyinjiao), BL32 (Ciliao), SP9 (Yinlingquan)","Ba Zheng San, Qian Lie Xian Tang"
Men's Health,Low Libido,Kidney Yang Deficiency; Liver Qi Stagnation,"Decreased sexual desire, fatigue, cold limbs, low back pain","CV4 (Guanyuan), BL23 (Shenshu), GV4 (Mingmen), KI3 (Taixi)","You Gui Wan, Jin Gui Shen Qi Wan"
Immune/Wellness,Weakened Immunity,Lung-Spleen Qi Deficiency; Wei Qi Deficiency,"Frequent colds, slow recovery, fatigue, spontaneous sweating","ST36 (Zusanli), LU9 (Taiyuan), BL13 (Feishu), CV6 (Qihai)","Yu Ping Feng San, Bu Zhong Yi Qi Tang"
Immune/Wellness,Autoimmune Conditions,Blood Stasis; Damp-Heat; Yin Deficiency,"Chronic inflammation, fatigue, joint pain, skin issues","LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli)","Liu Wei Di Huang Wan, Xiao Chai Hu Tang"
Immune/Wellness,Post-COVID Syndrome,Qi Deficiency; Phlegm-Damp; Yin Deficiency,"Fatigue, brain fog, shortness of breath, loss of taste/smell","ST36 (Zusanli), LU9 (Taiyuan), CV17 (Tanzhong), SP6 (Sanyinjiao)","Sheng Mai San, Bu Fei Tang"
Eye/Vision,Dry Eyes,Liver Blood Deficiency; Kidney Yin Deficiency,"Gritty sensation, blurred vision, eye fatigue, worse with screens","BL1 (Jingming), GB1 (Tongziliao), LR3 (Taichong), KI6 (Zhaohai)","Qi Ju Di Huang Wan, Ming Mu Di Huang Wan"
Eye/Vision,Eye Strain,Liver Blood Deficiency; Qi Stagnation,"Tired eyes, headache, blurred vision, difficulty focusing","BL1 (Jingming), Taiyang, GB20 (Fengchi), LR3 (Taichong)","Xiao Yao San, Qi Ju Di Huang Wan"
Eye/Vision,Floaters,Liver-Kidney Yin Deficiency; Blood Stasis,"Moving spots in vision, blurred vision, dizziness","BL1 (Jingming), GB37 (Guangming), LR3 (Taichong), KI3 (Taixi)","Ming Mu Di Huang Wan, Xue Fu Zhu Yu Tang"
Pediatric,Colic/Digestive Issues,Spleen Qi Deficiency; Food Stagnation; Cold in Stomach,"Crying, gas, poor feeding, irregular stools","CV12 (Zhongwan), ST25 (Tianshu), ST36 (Zusanli) - gentle stimulation",Pediatric Tuina; Modified Bao He Wan
Pediatric,ADHD/Focus Issues,Heart-Spleen Deficiency; Phlegm-Fire; Liver Wind,"Hyperactivity, poor concentration, restlessness, mood swings","GV20 (Baihui), HT7 (Shenmen), SP6 (Sanyinjiao), Yintang",Tian Wang Bu Xin Dan (modified); Gui Pi Tang
Pediatric,Recurring Infections,Lung-Spleen Qi Deficiency; Wei Qi Weakness,"Frequent colds, ear infections, slow recovery, pale complexion","ST36 (Zusanli), BL13 (Feishu), LU9 (Taiyuan), LI4 (Hegu)",Yu Ping Feng San (pediatric); Shen Ling Bai Zhu San
Pediatric,Bedwetting,Kidney Qi Deficiency; Spleen Qi Deficiency,"Nighttime urination, deep sleep, cold limbs, fatigue","CV4 (Guanyuan), BL23 (Shenshu), SP6 (Sanyinjiao), GV20 (Baihui)",Suo Quan Wan (modified); Bu Zhong Yi Qi Tang
