id,system,western_label,tcm_pattern,key_symptoms,pulse_tongue,treatment_principle,acupoints,pharmacopeia,deep_thinking_note
1,Respiratory,Common Cold,Wind-Cold Invasion,"Chills > Fever, no sweat, stiff neck, runny clear nose",Floating-Tight Pulse; Thin White Coat,Release Exterior; Expel Cold,"LU7, LI4, GB20, BL12",Gui Zhi Tang,Do not use cooling herbs here. You must open the pores to sweat out the cold.
2,Respiratory,Common Cold,Wind-Heat Invasion,"Fever > Chills, sore throat, yellow phlegm",Floating-Rapid Pulse; Red tip/Yellow Coat,Release Exterior; Clear Heat,"LI4, LI11, LU10, DU14",Yin Qiao San,Focus on the throat (LU10). Heat has entered the Wei Qi level.
3,Respiratory,Asthma (Acute),Phlegm-Heat in Lung,"Barking cough, yellow sticky phlegm, chest tightness",Slippery-Rapid Pulse; Red Body/Yellow Greasy Coat,Clear Heat; Resolve Phlegm; Descend Qi,"LU5, ST40, Dingchuan, CV22",Ding Chuan Tang,Use Dingchuan (Extra Point) alongside spine. Stop the wheeze first tonify later.
4,Respiratory,Asthma (Chronic),Lung & Kidney Deficiency,"Shortness of breath on exertion, weak voice, cold limbs",Deep-Weak Pulse; Pale Tongue,Tonify Lung; Grasp Qi,"BL13, BL23, KD3, CV17",Su Zi Jiang Qi Tang,The Kidney is failing to grasp the Qi down. Treat the root (Kidney).
5,Digestive,Gastritis,Stomach Yin Deficiency,"Dull burning pain, dry mouth, hunger but no desire to eat",Thready-Rapid Pulse; Red/Peeled (Geographic) Tongue,Nourish Gastric Yin,"ST36, SP6, CV12, PC6",Yi Wei Tang,Avoid warming/drying herbs (like Ginger). The stomach lining is dry/atrophied.
6,Digestive,IBS (Diarrhea),Liver Overacting on Spleen,"Pain triggers diarrhea, worse with stress/anger",Wiry (Left) & Weak (Right) Pulse,Harmonize Liver & Spleen,"LV3, ST25, SP6, Yintang",Tong Xie Yao Fang,The Wood (Liver) is attacking the Earth (Spleen). Calm the mind to fix the gut.
7,Digestive,Constipation,Blood Deficiency,"Dry pebble stools, dizziness, pale face",Choppy/Fine Pulse; Pale Tongue,Nourish Blood; Moisten Intestines,"ST25, SJ6, BL25, SP6",Run Chang Wan,Do not purge with laxatives; the boat (stool) cannot move because there is no water (blood) in the river.
8,Cardiovascular,Hypertension,Liver Fire Rising,"Dizziness, red face, anger, throbbing headache",Wiry-Rapid Pulse; Red sides/Yellow Coat,Clear Liver Fire; Anchor Yang,"LV2, LV3, GB20, KD1",Long Dan Xie Gan Tang,Bleed the ear apex (Erjian) for immediate pressure reduction.
9,Cardiovascular,Hypertension,Yin Deficiency with Yang Rising,"Dizziness, tinnitus, night sweats, weak knees",Thready-Rapid Pulse; Red/No Coat,Nourish Yin; Subdue Yang,"KD3, LV3, SP6, PC6",Tian Ma Gou Teng Yin,This is the tired but wired patient. Anchoring is key.
10,Cardiovascular,Palpitations,Heart Blood Deficiency,"Fluttering heart, anxiety, insomnia, pale face",Thready/Weak Pulse; Pale Tongue,Nourish Heart Blood; Calm Shen,"HT7, PC6, BL15, CV14",Gui Pi Tang,The heart lacks fluid (blood) to house the Shen so the Shen floats (anxiety).
11,Psychological,Depression,Liver Qi Stagnation,"Sighing, sensation of stuckness, mood swings",Wiry Pulse; Normal or Dusky Tongue,Move Qi; Relieve Constraint,"LV3, LI4, GB34, Yintang",Xiao Yao San,The classic Four Gates treatment. The Qi just needs a reminder to flow.
12,Psychological,Anxiety,Heart & Gallbladder Qi Deficiency,"Easily startled, timid, waking up early",Weak/Thready Pulse; Pale/Swollen Tongue,Tonify Qi; Calm Spirit,"HT7, GB40, CV14, Anmian",Wen Dan Tang,Treat the Gallbladder to give the patient guts or courage.
13,Psychological,Insomnia,Heart Yin Deficiency (Empty Heat),"Waking frequently, night sweats, 5-palm heat",Thready-Rapid Pulse; Red tip,Nourish Yin; Clear Empty Heat,"HT7, KD6, SP6, Anmian",Tian Wang Bu Xin Dan,The water (Yin) is not controlling the fire (Heart). Cool the engine.
14,Musculoskeletal,Lower Back Pain (Acute),Qi & Blood Stagnation,"Sharp fixed pain, history of trauma/lifting",Wiry/Choppy Pulse; Purple spots on Tongue,Move Qi; Break Stasis,"BL23, BL40 (Bleed), Yaotongxue",Die Da Wan,Do not use tonic points yet. You must clear the traffic jam (stasis) first.
15,Musculoskeletal,Lower Back Pain (Chronic),Kidney Yang Deficiency,"Dull ache, coldness, better with warmth/rubbing",Deep-Slow Pulse; Pale/Wet Tongue,Tonify Kidney Yang; Strengthen Back,"GV4 (Moxa), BL23, KD3, BL52",You Gui Wan,Moxa is mandatory here. The battery is low.
16,Musculoskeletal,Frozen Shoulder,Wind-Cold Invasion,"Fixed pain, worse at night, aversion to cold",Tight Pulse; White Coat,Expel Wind-Cold; Warm Channels,"ST38, GB34, LI15, Jianqian",Juan Bi Tang,Use ST38 (distal point) while the patient moves their arm.
17,Neurological,Headache (Migraine),Liver Yang Rising,"Unilateral throbbing, visual aura, nausea",Wiry Pulse; Red edges,Subdue Liver Yang; Clear Wind,"GB20, GB8, LV3, GB41",Tian Ma Gou Teng Yin,GB41 opens the Dai Mai (belt vessel) to drain excess from the head.
18,Neurological,Post-Stroke,Qi Deficiency & Blood Stasis,"Hemiplegia, facial droop, weakness",Weak/Choppy Pulse; Pale/Purple Tongue,Tonify Qi significantly; Move Blood,"GV20, LI11, GB34, ST36",Bu Yang Huan Wu Tang,Use high doses of Huang Qi (Astragalus) to push the blood through the stagnation.
19,Gynecology,Dysmenorrhea (Cramps),Liver Qi Stagnation,"Pain before flow, clots, breast distension",Wiry Pulse; Purple spots,Move Qi; Regulate Menses,"SP8, LV3, LI4, CV3",Tao Hong Si Wu Tang,SP8 is the Xi-Cleft point for acute uterine pain.
20,Gynecology,Menopause,Kidney Yin Deficiency,"Hot flashes, night sweats, irritability",Thready-Rapid Pulse; Red/Dry Tongue,Nourish Kidney Yin; Clear Heat,"KD6, SP6, HT6, CV4",Zhi Bai Di Huang Wan,Use The Triangle (KD3 KD6 SP6) to generate fluids.
21,Gynecology,Infertility,Kidney Yang Deficiency,"Cold uterus, low libido, frequent urination",Deep-Weak Pulse; Pale/Wet Tongue,Warm the Womb; Tonify Essence,"CV4, Zigong, BL23, KD3",Yu Lin Zhu,A Cold Womb cannot germinate a seed. Moxa on Zigong and CV4 is critical.
22,Dermatology,Eczema (Acute),Damp-Heat,"Red weeping skin, intense itching, rapid onset",Slippery-Rapid Pulse; Red/Yellow Coat,Clear Heat; Dry Dampness,"LI11, SP9, SP10, BL40",Long Dan Xie Gan Tang,Use the Four Bends (He-Sea points) to drain heat from the blood level.
23,Dermatology,Hives (Urticaria),Wind-Heat,"Red raised rashes that move around, itching",Floating Pulse,Expel Wind; Cool Blood,"LI11, SP10, SP6, LU7",Xiao Feng San,Treat this like Wind in nature it moves quickly. Eliminate wind to stop the itch.
24,Mens Health,Prostatitis,Damp-Heat in Lower Jiao,"Urinary urgency, burning, perineal pain",Slippery-Rapid Pulse; Yellow Greasy Coat on root,Drain Damp-Heat,"SP9, BL28, LV5, CV3",Ba Zheng San,LV5 (Luo point) circles the genitals. Essential for prostate issues.
25,Mens Health,Erectile Dysfunction,Kidney Essence Deficiency,"Gradual onset, tinnitus, knee weakness, premature aging",Deep-Weak Pulse; Pale Tongue,Tonify Kidney Essence,"GV4, CV4, KD3, BL23",Wu Zi Yan Zong Wan,The Five Seed Pill for reproduction. Focus on the Du Mai (Governor Vessel).
26,Metabolic,Diabetes (Type 2),Yin Deficiency with Dryness,"Excessive thirst, hunger, urination (Xiao Ke)",Thready-Rapid Pulse; Dry/Red Tongue,Nourish Yin; Clear Heat,"SP6, KD3, LU9, Weiwanxiashu",Yu Quan Wan,Include Weiwanxiashu (Pancreas hollow) extra point.
27,Metabolic,Obesity,Phlegm-Dampness,"Lethargy, feeling heavy, greasy skin, snoring",Slippery Pulse; Swollen/Teeth-marked Tongue,Transform Phlegm; Tonify Spleen,"ST40, SP9, CV12, ST36",Er Chen Tang,ST40 is the Phlegm command point. You must resolve the dampness before tonifying.
28,Immunology,Allergic Rhinitis,Lung Qi Deficiency,"Sneezing, clear runny nose, dust sensitivity",Weak Pulse (Right Cun); Pale Tongue,Strengthen Wei Qi; Expel Wind,"LU9, LI20, Yintang, LI4",Yu Ping Feng San,Jade Windscreen Powder builds the Shield (Wei Qi) against allergens.
29,Neurological,Vertigo,Phlegm-Damp Obstructing,"Room spinning, nausea, heavy head",Slippery Pulse; Greasy Coat,Resolve Phlegm; Open Orifices,"ST40, PC6, GV20, ST8",Ban Xia Bai Zhu Tian Ma Tang,The clear Yang cannot rise to the head because Phlegm is blocking the neck/throat.
30,Endocrine,Hypothyroidism,Spleen & Kidney Yang Deficiency,"Fatigue, weight gain, cold intolerance, depression",Deep-Slow Pulse; Pale/Swollen Tongue,Warm Yang; Tonify Qi,"GV4, CV6, ST36, KD7",You Gui Wan,Need to ignite the Life Gate (Mingmen) fire to speed up metabolism.
31,Psychological,PTSD,Shen Disturbance/Blood Stasis,"Nightmares, flashbacks, hyper-vigilance",Choppy/Wiry Pulse; Purple spots,Anchor Shen; Move Blood,"PC6, HT7, BL17, GV24",Xue Fu Zhu Yu Tang,Trauma causes Blood Stasis in the Heart. You must move the blood to free the Spirit.
32,Eye/Ear,Tinnitus (High Pitch),Liver/Kidney Yin Deficiency,"Constant high ringing like a whistle, worsens with fatigue",Thready Pulse,Nourish Liver/Kidney,"KD3, SJ17, GB2, SI19",Liu Wei Di Huang Wan,High pitch usually indicates Deficiency (Empty). Low roar indicates Excess.
33,Eye/Ear,Tinnitus (Low Roar),Liver Fire/Phlegm,"Loud rushing sound, acute onset, angry",Wiry/Slippery Pulse,Drain Liver Fire; Clear Phlegm,"LV2, GB43, SJ3, GB20",Long Dan Xie Gan Tang,Treat aggressively to drain the Excess. Do not tonify.
34,Pain Management,Sciatica (GB),Shao Yang Channel Obstruction,Pain down side of leg to ankle,Wiry Pulse,Open GB Channel,"GB30, GB34, GB31, GB41",Xiao Chai Hu Tang (Modified),Use heavy stimulation at GB30 (Huantiao) to jump the Qi down the leg.
35,Pain Management,Tennis Elbow,LI Channel Stagnation,"Lateral elbow pain, weakness in grip",Tight Pulse (local),Clear Channel Blockage,"LI11, LI10, LI4, Ashi",Xiao Huo Luo Dan,Moxa on LI10/LI11 is often superior to needles for chronic tendonitis.
36,Addiction,Smoking Withdrawal,Lung Qi Stagnation/Phlegm,"Cravings, irritability, cough",Wiry/Slippery Pulse,Calm Shen; Clear Lung,"Tim-Mee (Extra), LU7, HT7, Ear Shenmen",Chai Hu Jia Long Gu Mu Li Tang,Tim-Mee is a specific empirical point for nicotine withdrawal.
37,Pediatrics,Bedwetting,Kidney Qi Deficiency,"Deep sleep, clear urine, cold limbs",Deep-Weak Pulse,Stabilize Kidney Qi,"CV3, BL23, KD3, SP6",Suo Quan Wan,The Stream Shutting Pill. The Kidney Qi is not strong enough to wake the brain.
38,Pediatrics,Night Terrors,Liver Heat,"Screaming in sleep, thrashing, hot hands",Rapid Pulse,Clear Liver Heat,"LV2, HT7, Yintang",Dao Chi San,Liver Heat disturbs the Hun (Ethereal Soul) at night.
39,Internal,Edema (Yang),Wind-Water Invasion,"Sudden swelling of face/eyes, chills",Floating Pulse,Diffuse Lung Qi; Promote Urination,"LU7, LI6, LI4, SP9",Yue Bi Tang,Open the lid (Lungs) to let the water drain out the bottom.
40,Internal,Edema (Yin),Kidney Yang Deficiency,"Pitting edema in ankles/legs, cold back",Deep-Weak Pulse,Warm Yang; Transform Water,"KD7, BL23, SP9, CV9",Zhen Wu Tang,The water pump (Kidney Yang) is broken. Need warmth.
41,Autoimmune,Rheumatoid Arthritis,Wind-Damp-Heat Bi,"Swollen hot joints, wandering pain",Rapid/Slippery Pulse,Clear Heat; Expel Damp; Unblock Collaterals,"LI11, SP9, ST44, Ashi",Gui Zhi Shao Yao Zhi Mu Tang,Heat Bi requires cooling herbs like Gypsum (Shi Gao) and Zhi Mu.
42,Geriatrics,Memory Loss,Kidney Essence Deficiency,"Forgetfulness, dizziness, empty feeling in head",Thready/Weak Pulse,Nourish Marrow; Tonify Essence,"GV20, SIShenCong, KD3, BL23",Bu Nao Wan,The Brain is the Sea of Marrow. Only Kidney Essence can refill it.
43,Geriatrics,Dry Stool (Elderly),Yin/Blood Deficiency,"Straining, exhausting defecation, dry stool",Fine Pulse,Moisten Intestines; Tonify Qi,"ST25, BL25, CV6, KD6",Ma Zi Ren Wan,Elderly constipation is rarely excess. It is usually dryness/weakness.
44,Skin,Acne (Teen),Lung Heat/Wind,"Red papules on forehead/nose, oily skin",Rapid Pulse,Clear Lung Heat; Cool Blood,"LU5, LI4, LI11, BL13",Pi Pa Qing Fei Yin,Forehead belongs to Fire/Lung. Clear heat from the upper burner.
45,Skin,Acne (Adult/Hormonal),Liver Stagnation/Blood Heat,"Cystic acne on jawline, worse with stress/period",Wiry Pulse,Move Liver Qi; Cool Blood,"LV3, SP10, LI11, CV4",Dan Zhi Xiao Yao San,Jawline represents the Lower Jiao/Hormones. Regulate the Liver.
46,Acute,Heat Stroke,Summer-Heat,"High fever, profuse sweat, thirst, collapse",Surging-Rapid Pulse,Clear Summer Heat; Generate Fluids,"PC3, BL40, GV14, LI11",Bai Hu Tang,Emergency condition. Clear heat immediately. PC3/BL40 bleed.
47,Acute,Shock/Fainting,Yang Collapse,"Loss of consciousness, cold sweat, minute pulse",Hidden/Minute Pulse,Rescue Yang,"GV26, KI1, CV4 (Moxa), ST36",Shen Fu Tang,GV26 (Philtrum) is the restart button. KI1 descends the rebellion.
48,Gastro,Acid Reflux,Liver Invading Stomach,"Sour regurgitation, burning, rib pain",Wiry Pulse,Harmonize Liver/Stomach; Descend Qi,"LV3, ST36, PC6, CV12",Zuo Jin Wan,The Left Metal Pill specifically treats Liver Fire burning the Stomach.
49,Energy,Chronic Fatigue,Spleen Qi Sinking,"Exhaustion, heavy limbs, loose stools, brain fog",Weak Pulse,Raise Yang; Tonify Spleen,"GV20, ST36, CV6, SP3",Bu Zhong Yi Qi Tang,You must lift the Qi to the head (GV20) and strengthen the gut (ST36).
50,Sleep,Sleep Apnea,Phlegm-Stasis in Throat,"Snoring, gasping, obesity, purple tongue",Slippery/Choppy Pulse,Resolve Phlegm; Move Stasis,"ST40, CV22, PC6, LU7",Wen Dan Tang + Xue Fu Zhu Yu Tang,Treat the throat as a phlegm obstruction combined with blood stasis from hypoxia.
