Question,Answer,TCM_Trigger_Acupuncture_Points,Pharmacopeia
,,,
How does TCM treat facial trauma and bruising?,"Facial injuries involve delicate meridians (ST, LI, SI). Treatment uses gentle distal points, minimal local needling, and blood-movers to reduce swelling and bruising.","LI4 (Hegu), ST36 (Zusanli), ST2 (Sibai), ST3 (Juliao), SI18 (Quanliao)","Dan Shen (Salvia), Chuan Xiong (Ligusticum), Bai Zhi (Angelica dahurica), Tao Ren (Peach Kernel)"
Which herbs treat joint effusion (fluid accumulation) from trauma?,"Yi Yi Ren (Coix), Fu Ling (Poria), Ze Xie (Alisma) drain dampness and reduce joint swelling while blood-movers address underlying stagnation.","SP9 (Yinlingquan), SP6 (Sanyinjiao), ST36 (Zusanli), local joint points","Yi Yi Ren (Coix), Fu Ling (Poria), Ze Xie (Alisma), Fang Ji (Stephania)"
How does constitutional type affect trauma treatment in TCM?,Qi deficient types need more tonification; Blood deficient need more nourishment; Damp/Phlegm types need more drying herbs alongside standard trauma treatment.,All types: Basic trauma points; Adjust based on constitution,"Qi def: Add Huang Qi; Blood def: Add Dang Gui; Damp: Add Fu Ling, Yi Yi Ren"
What is the significance of nighttime pain in trauma assessment?,"Nighttime pain aggravation indicates blood stasis predominance, requiring stronger blood-moving treatment compared to daytime-only pain which may be more qi-related.","BL17 (Geshu), SP10 (Xuehai), LR3 (Taichong), Ashi points","Stronger blood-movers: Tao Ren, Hong Hua, E Zhu, San Leng, Dan Shen"
How does TCM treat Achilles tendon injuries?,"Achilles involves Kidney and Bladder meridians. Treatment uses local heel points, distal points, and herbs that nourish Kidney (governs tendons) and move blood.","BL60 (Kunlun), KI3 (Taixi), KI6 (Zhaohai), BL62 (Shenmai), Ashi points around tendon","Du Zhong (Eucommia), Niu Xi (Achyranthes), Xu Duan (Dipsacus), Gui Zhi (Cinnamon twig)"
Which points are contraindicated during pregnancy but safe for trauma?,"SP6, LI4, BL60, BL67, GB21 are contraindicated in pregnancy. Safe alternatives: ST36, LR3, PC6, local points away from abdomen.","Safe in pregnancy: ST36, LR3, PC6, GB34, safe local points",Standard trauma herbs generally safe topically; consult for internal use during pregnancy
How does TCM address post-traumatic anxiety or emotional trauma?,"Emotional trauma involves Heart and Liver. Treatment calms Spirit (Shen), courses Liver qi, and anchors mind with specific points and calming herbs.","HT7 (Shenmen), PC6 (Neiguan), GV20 (Baihui), Yintang, LR3 (Taichong)","Suan Zao Ren (Ziziphus), Fu Shen (Poria spirit), Long Gu (Dragon Bone), Mu Li (Oyster shell)"
What herbs improve microcirculation in trauma healing?,"Dan Shen (Salvia), Hong Hua (Safflower), Chi Shao (Red Peony) specifically improve microcirculation, ensuring nutrients reach injured tissues for optimal healing.","SP10 (Xuehai), ST36 (Zusanli), LI4 (Hegu), Ashi points","Dan Shen (Salvia), Hong Hua (Safflower), Chi Shao (Red Peony), Chuan Xiong (Ligusticum)"
How does TCM treat fingertip and toe injuries?,"Distal extremity injuries involve terminal meridian points. Treatment uses local needling, adjacent points, and blood-moving herbs to restore circulation.","Local well points (Jing points), adjacent points, LI4 (Hegu) for fingers, LR3 (Taichong) for toes","San Qi (Notoginseng), Chuan Xiong (Ligusticum), Ru Xiang (Frankincense), Mo Yao (Myrrh)"
Which herbs have both hemostatic and blood-moving properties?,"San Qi (Notoginseng) uniquely stops bleeding while moving blood, making it ideal for all trauma stages. Pu Huang (Typha) also shares this dual property.","SP10 (Xuehai), SP1 (Yinbai), LI4 (Hegu), ST36 (Zusanli)",San Qi (Notoginseng) - primary; Pu Huang (Typha) - secondary
How does TCM prevent keloid scar formation?,"Early aggressive blood-moving treatment prevents stagnation that forms keloids. Dan Shen (Salvia), E Zhu (Curcuma zedoaria) specifically prevent excessive scarring.","SP10 (Xuehai), LR3 (Taichong), LI4 (Hegu), local surrounding points","Dan Shen (Salvia), E Zhu (Curcuma zedoaria), San Leng (Sparganium), topical applications"
What is the role of the Eight Extraordinary Vessels in trauma?,Yang Qiao and Yin Qiao vessels regulate left-right balance; Dai Mai (Belt vessel) for truncal trauma; Chong Mai for severe blood loss scenarios.,"Yang Qiao: BL62, SI3; Yin Qiao: KI6, LU7; Dai Mai: GB41, TE5; Chong Mai: SP4, PC6",Formulas adjusted based on vessel involvement and trauma pattern
How does TCM treat pelvic trauma and injuries?,"Pelvic injuries involve Liver, Kidney, and Spleen meridians. Treatment focuses on lower abdomen points, leg points, and herbs that move blood in lower burner.","SP6 (Sanyinjiao), SP12 (Chongmen), ST29 (Guilai), LR12 (Jimai), SP13 (Fushe)","Dang Gui (Angelica), Chuan Xiong (Ligusticum), Niu Xi (Achyranthes), Xiang Fu (Cyperus)"
Which points treat radiating pain from nerve trauma?,"Points along affected nerve pathway, distal master points, and GB34 (influences tendons/nerves) combined treat radiating neuropathic pain from trauma.","GB34 (Yanglingquan), LI4 (Hegu), LR3 (Taichong), SI3 (Houxi), points along pain pathway","Chuan Xiong (Ligusticum), Bai Shao (White Peony), Gan Cao (Licorice), Yan Hu Suo (Corydalis)"
How does seasonal variation affect trauma treatment?,Spring/Summer: More cooling herbs; Fall/Winter: More warming herbs. Adjust treatment temperature properties based on season while maintaining core trauma principles.,Standard trauma points year-round,"Spring/Summer: More Huang Qin, Dan Shen; Fall/Winter: More Gui Zhi, Ai Ye, Du Huo"
What is the TCM protocol for treating multiple simultaneous injuries?,"Prioritize life-threatening issues, then treat most painful/limiting injury first. Use systemic points (ST36, SP6, LI4) and formulas addressing multiple areas simultaneously.","ST36 (Zusanli), SP6 (Sanyinjiao), LI4 (Hegu), LR3 (Taichong), SP21 (Dabao), local points",Comprehensive formulas: Yunnan Baiyao plus area-specific additions as needed
How does age affect trauma recovery in TCM theory?,"Youth (excess qi/blood): Faster healing, use lighter treatment. Middle age: Standard protocols. Elderly (deficient qi/blood): Slower healing, need tonification with trauma treatment.","Youth: Standard points, lighter technique; Elderly: Add CV4, CV6, KI3, BL23 for tonification","Youth: Standard formulas; Elderly: Add Huang Qi, Ren Shen, Shu Di Huang to trauma formulas"
Which formula treats trauma with significant blood loss?,"Dang Gui Bu Xue Tang (Angelica Blood-Tonifying Decoction) with trauma herbs added rebuilds blood while addressing injury, essential after hemorrhagic trauma.","ST36 (Zusanli), SP6 (Sanyinjiao), BL17 (Geshu), BL20 (Pishu), CV4 (Guanyuan)","Huang Qi (Astragalus), Dang Gui (Angelica) base, add San Qi, Chuan Xiong, Bai Shao"
How does TCM integrate with modern trauma care?,"TCM complements modern emergency care by reducing swelling, managing pain, preventing complications, speeding healing, and addressing chronic post-trauma issues that persist after conventional treatment.",Integrated approach using both modern diagnostics and TCM treatment,Combine appropriate pharmaceuticals with TCM herbs under qualified practitioner guidance
What is the primary TCM approach to treating acute soft tissue injuries?,"TCM treats acute soft tissue injuries using blood-moving and stasis-removing techniques, combined with local acupuncture and herbal applications to reduce swelling and promote healing.","LI4 (Hegu), SP10 (Xuehai), ST36 (Zusanli), Ashi points","Dan Shen (Salvia), Chuan Xiong (Ligusticum), Ru Xiang (Frankincense), Mo Yao (Myrrh)"
How does TCM explain the formation of bruising after trauma?,"Bruising represents blood stasis (Yu Xue) where blood has extravasated from vessels and stagnated in tissues, blocking qi flow and causing pain and discoloration.","SP10 (Xuehai), LR3 (Taichong), BL17 (Geshu)","Tao Ren (Peach Kernel), Hong Hua (Safflower), Chi Shao (Red Peony), Dang Gui (Angelica)"
What acupuncture technique is most effective for acute trauma pain?,"Bleeding technique on local Ashi points combined with distal point needling using reducing method helps drain stagnant blood and qi, alleviating acute pain.","LI4 (Hegu), Ashi points, GB34 (Yanglingquan)","Yan Hu Suo (Corydalis), Bai Zhi (Angelica dahurica), Chuan Xiong (Ligusticum)"
Which herbal formula is considered the primary trauma formula in TCM?,"Yunnan Baiyao is the most famous trauma formula, containing pseudo-ginseng and other herbs to stop bleeding, reduce swelling, and promote tissue regeneration.",N/A,"San Qi (Notoginseng), Chuan Xiong (Ligusticum), Long Gu (Dragon Bone)"
How does TCM differentiate between new and old injuries?,New injuries (within 24-48 hours) show heat signs with red swelling; old injuries show cold signs with dull aching and stiffness. Treatment differs accordingly.,"New: LI11 (Quchi), LI4 (Hegu); Old: ST36 (Zusanli), SP6 (Sanyinjiao)",New: Huang Qin (Scutellaria); Old: Gui Zhi (Cinnamon twig)
,,,
How does TCM prevent scar tissue formation after injury?,Early blood-moving treatment prevents stagnation that forms scars. Continued herbal therapy and massage softens and breaks down developing scar tissue.,"SP10 (Xuehai), LR3 (Taichong), LI4 (Hegu), local Ashi points","Dan Shen (Salvia), E Zhu (Curcuma zedoaria), San Leng (Sparganium), Chuan Xiong (Ligusticum)"
Which herbs have anti-inflammatory properties for trauma?,"Huang Qin (Scutellaria), Huang Lian (Coptis), Jin Yin Hua (Honeysuckle) clear heat and reduce inflammation while blood-movers address underlying stagnation.","LI11 (Quchi), LI4 (Hegu), ST44 (Neiting), SP10 (Xuehai)","Huang Qin (Scutellaria), Huang Lian (Coptis), Jin Yin Hua (Honeysuckle), Lian Qiao (Forsythia)"
How does TCM treat plantar fasciitis from overuse trauma?,"Plantar fasciitis involves Kidney and Bladder meridian stagnation in the foot. Treatment uses local foot points, leg points, and herbs to nourish Kidney and move blood.","KI3 (Taixi), KI6 (Zhaohai), BL60 (Kunlun), BL62 (Shenmai), Ashi points on plantar surface","Du Zhong (Eucommia), Niu Xi (Achyranthes), Wei Ling Xian (Clematis), Mu Gua (Chaenomeles)"
What is the TCM view on ice versus heat for acute trauma?,Acute trauma (first 24-48 hours): Use ice or cooling herbs to reduce heat and swelling. After acute phase: Use heat/moxibustion to promote circulation and healing.,"Acute: LI11 (Quchi), LI4 (Hegu); Later: ST36 (Zusanli), Ashi points with moxa","Acute cooling: Huang Qin, Huang Lian; Later warming: Gui Zhi, Ai Ye (Mugwort)"
Which formula treats chronic pain from old injuries?,Shen Tong Zhu Yu Tang (Drive Out Blood Stasis from Painful Obstruction Decoction) specifically treats chronic pain from old injuries with persistent blood stasis.,"BL17 (Geshu), SP10 (Xuehai), LR3 (Taichong), GB34 (Yanglingquan)","Qiang Huo, Du Huo, Tao Ren, Hong Hua, Chuan Xiong, Wu Ling Zhi, Xiang Fu, Qin Jiao, Dang Gui"
How does TCM address nerve damage from trauma?,Nerve damage involves disrupted qi flow and blood stagnation in channels. Treatment uses points along affected nerve pathways with herbs that nourish nerves and move blood.,"GB34 (Yanglingquan), LR3 (Taichong), SI3 (Houxi), BL60 (Kunlun), local points","Dang Gui (Angelica), Chuan Xiong (Ligusticum), Ji Xue Teng (Spatholobus), Huang Qi (Astragalus)"
What is the role of qi tonification in trauma recovery?,"While early treatment moves stagnation, later recovery requires tonifying qi to restore energy, rebuild tissue, and prevent chronic weakness from injury.","ST36 (Zusanli), SP6 (Sanyinjiao), CV6 (Qihai), CV4 (Guanyuan)","Huang Qi (Astragalus), Ren Shen (Ginseng), Dang Shen (Codonopsis), Bai Zhu (Atractylodes)"
Which points help with elbow injuries (tennis/golfer's elbow)?,"Elbow injuries involve Large Intestine, Triple Energizer, and Small Intestine meridians. Local and distal points combined with blood-moving herbs provide relief.","LI11 (Quchi), LI10 (Shousanli), TE5 (Waiguan), LI4 (Hegu), Ashi points","Wei Ling Xian (Clematis), Sang Zhi (Mulberry twig), Chuan Xiong (Ligusticum), Jiang Huang (Turmeric)"
How does diet support trauma healing in TCM?,"Warm, easily digestible foods with blood-building properties (bone broths, dark leafy greens, red meat) support healing. Avoid cold, raw foods that impair Spleen function.","ST36 (Zusanli), SP6 (Sanyinjiao) to support digestion","Blood builders: Dang Gui, Gou Qi Zi, Da Zao (Jujube), Long Yan Rou (Longan)"
What is the function of frankincense and myrrh in trauma formulas?,"Ru Xiang (Frankincense) and Mo Yao (Myrrh) are powerful blood-movers that also relieve pain, reduce swelling, and promote tissue regeneration in traumatic injuries.","Used in formulas, not specific points","Ru Xiang (Frankincense), Mo Yao (Myrrh) - often used together"
How does TCM treat traumatic arthritis?,"Traumatic arthritis develops from untreated blood stasis becoming chronic blockage. Treatment removes old stagnation, warms channels, and nourishes joint structures.","GB34 (Yanglingquan), ST36 (Zusanli), Ashi points, SP10 (Xuehai)","Du Huo (Angelica pubescens), Wei Ling Xian (Clematis), Sang Ji Sheng (Mistletoe), Gui Zhi (Cinnamon)"
Which herbs reduce hematoma formation?,"San Qi (Notoginseng), Ru Xiang (Frankincense), Mo Yao (Myrrh), and Tao Ren (Peach Kernel) strongly move blood and break up pooled blood to prevent or resolve hematomas.","SP10 (Xuehai), LI4 (Hegu), BL17 (Geshu), local Ashi points","San Qi (Notoginseng), Ru Xiang (Frankincense), Mo Yao (Myrrh), Tao Ren (Peach Kernel), Hong Hua (Safflower)"
How does TCM differentiate upper body versus lower body trauma treatment?,"Upper body uses more hand/arm points (LI4, TE5) and ascending herbs (Qiang Huo). Lower body uses leg/foot points (ST36, SP6) and descending herbs (Niu Xi).","Upper: LI4, TE5, GB21; Lower: ST36, SP6, BL40","Upper: Qiang Huo, Bai Zhi; Lower: Niu Xi, Du Huo, Mu Gua"
What is the significance of the Great Luo of the Spleen (SP21)?,"SP21 connects all Luo vessels and is used for widespread pain, trauma affecting multiple body areas, and conditions involving blood and qi dysfunction throughout the body.",SP21 (Dabao) - for systemic trauma effects,"Dang Gui (Angelica), Chuan Xiong (Ligusticum), Ji Xue Teng (Spatholobus)"
How does TCM treat post-traumatic stiffness?,"Stiffness represents cold and dampness blocking channels with residual blood stasis. Treatment uses warming, moving techniques with moxibustion and appropriate herbs.","GB34 (Yanglingquan), LR3 (Taichong), local Ashi points with moxa","Gui Zhi (Cinnamon twig), Wei Ling Xian (Clematis), Hai Tong Pi (Erythrina), Qiang Huo (Notopterygium)"
Which formula is best for severe bruising and contusions?,Die Da Wan (Trauma Pill) or Die Da Huo Xue Tang (Trauma Invigorating Blood Decoction) specifically treats severe bruising with strong blood-moving and pain-relieving herbs.,"SP10 (Xuehai), LI4 (Hegu), BL17 (Geshu), Ashi points","Dang Gui, Chuan Xiong, Tao Ren, Hong Hua, Ru Xiang, Mo Yao, San Qi, Yan Hu Suo"
How does the Kidney relate to bone and trauma healing?,"Kidneys govern bones and marrow in TCM. Nourishing Kidney essence is essential for bone healing, especially in fractures and severe structural injuries.","KI3 (Taixi), BL23 (Shenshu), GV4 (Mingmen), KI6 (Zhaohai)","Du Zhong (Eucommia), Gu Sui Bu (Drynaria), Xu Duan (Dipsacus), Bu Gu Zhi (Psoralea)"
What is gua sha and when is it used for trauma?,"Gua sha scraping technique releases blood stasis near surface, reduces pain, and promotes circulation. Used for muscle strains, neck/back pain after acute phase passes.",Along affected muscle groups and meridian pathways,"Combined with topical oils containing Ru Xiang, Mo Yao, Zhang Nao (Camphor)"
How does TCM treat hip injuries?,"Hip involves Gallbladder and Bladder meridians. Treatment uses local hip points (GB29, GB30), distal points, and herbs that strengthen hips and move blood.","GB30 (Huantiao), GB29 (Juliao), GB34 (Yanglingquan), BL54 (Zhibian), BL40 (Weizhong)","Du Huo (Angelica pubescens), Niu Xi (Achyranthes), Sang Ji Sheng (Mistletoe), Wei Ling Xian (Clematis)"
Which points are used for full-body trauma recovery?,"Systemic points that regulate overall qi and blood (ST36, SP6, LI4, LR3) combined with constitutional strengthening support recovery from major trauma.","ST36 (Zusanli), SP6 (Sanyinjiao), LI4 (Hegu), LR3 (Taichong), GV20 (Baihui)","Huang Qi (Astragalus), Dang Gui (Angelica), Ren Shen (Ginseng), Shu Di Huang (Rehmannia)"
What is the role of blood-tonifying herbs in late-stage trauma?,"After dispersing stagnation, blood tonification (Dang Gui, Shu Di Huang) rebuilds blood lost to injury, nourishes tissues, and prevents chronic deficiency.","ST36 (Zusanli), SP6 (Sanyinjiao), BL17 (Geshu), BL20 (Pishu)","Dang Gui (Angelica), Shu Di Huang (Rehmannia), Bai Shao (White Peony), E Jiao (Donkey-hide gelatin)"