Question,Answer,TCM Trigger Acupuncture Points,Professional Acupuncture Points,Chinese Pharmacopeia
How does school stress affect children aged 7-13 in TCM?,"School stress creates Liver Qi stagnation (irritability, tension) and Heart-Spleen disharmony (worry, poor concentration). Friendships and social pressures can injure the child's developing Shen, manifesting as anxiety, stomach aches, or sleep issues.","HT-7 (Shenmen), LR-3 (Taichong) - Primary stress and emotion regulation","HT-7 (Shenmen), PC-6 (Neiguan), LR-3 (Taichong), Yintang, ST-36 (Zusanli), Sishencong (Four Alert Spirit)",Xiao Yao San (Free and Easy Wanderer) modified for children with Suan Zao Ren (Sour Jujube Seed) and Fu Shen (Poria Spirit)
What digestive questions reveal Spleen patterns in children?,"Ask about appetite quality, bloating after meals, stool consistency, cravings for sweets, and reactions to junk food. Spleen Qi deficiency manifests as poor appetite, loose stools, and sweet cravings. Damp accumulation shows as bloating and sluggishness.","ST-36 (Zusanli), SP-6 (Sanyinjiao) - Core Spleen strengthening","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), ST-25 (Tianshu), SP-4 (Gongsun), BL-20 (Pishu)","Shen Ling Bai Zhu San (Ginseng, Poria and Atractylodes Powder) or Si Jun Zi Tang (Four Gentlemen) in child-appropriate doses"
How does screen time before bed affect children's sleep?,"Blue light and stimulating content scatter Shen, create Heart Fire, and prevent Yang's natural descent into Yin at bedtime. This causes difficulty falling asleep, restless sleep, nightmares, and morning grogginess representing Shen disturbance.","HT-7 (Shenmen), Yintang - Shen calming for sleep","HT-7 (Shenmen), KI-6 (Zhaohai), Anmian (Extra point), Yintang, PC-6 (Neiguan), SP-6 (Sanyinjiao)",Suan Zao Ren Tang (Sour Jujube Seed Decoction) with Ye Jiao Teng (Polygonum Vine) in gentle pediatric doses
What do recurrent colds reveal about children's immunity?,"Frequent colds indicate Wei Qi deficiency (Lung and Spleen weakness). Slow recovery shows underlying Qi deficiency. Assess diet, sleep, stress levels - all affect Spleen's ability to generate Protective Qi.","LU-7 (Lieque), ST-36 (Zusanli) - Wei Qi boosting","LU-7 (Lieque), LI-4 (Hegu), ST-36 (Zusanli), BL-13 (Feishu), BL-20 (Pishu), DU-12 (Shenzhu - children's immune point)",Yu Ping Feng San (Jade Windscreen Powder) for prevention; modified doses based on age and weight
How do school concentration issues relate to TCM patterns?,"Poor concentration, fatigue, and headaches often represent Spleen Qi deficiency (can't hold attention) and Heart Blood deficiency (mind wanders). Anxiety shows Heart-Gallbladder disharmony. These patterns interconnect.","HT-7 (Shenmen), DU-20 (Baihui) - Focus and mental clarity","HT-7 (Shenmen), PC-6 (Neiguan), ST-36 (Zusanli), SP-6 (Sanyinjiao), DU-20 (Baihui), Sishencong",Gui Pi Tang (Restore the Spleen Decoction) in pediatric doses to nourish Heart and Spleen simultaneously
What triggers behavioral issues in children from TCM view?,Irritability suggests Liver Qi stagnation or Liver Heat. Anger shows Liver Yang rising. Sadness indicates Heart Blood deficiency or Lung Qi weakness. Withdrawal represents Kidney fear or severe Shen disturbance. Identify home/school triggers.,"LR-3 (Taichong), PC-6 (Neiguan) - Emotional regulation and calming","LR-3 (Taichong), LR-2 (Xingjian) for heat, HT-7 (Shenmen), PC-6 (Neiguan), Yintang, GB-20 (Fengchi)",Xiao Yao San for Liver stagnation; Long Dan Xie Gan Tang (very mild doses) for Liver Heat; Gui Pi Tang for sadness
Why is physical activity important for children in TCM?,"Exercise moves Qi and Blood, prevents stagnation, strengthens Spleen and Lung, and allows healthy expression of Wood element energy. Sedentary lifestyle creates Dampness, Qi stagnation, and weakens Wei Qi. Assess how child feels post-exercise.","ST-36 (Zusanli), LR-3 (Taichong) - Qi circulation and movement","ST-36 (Zusanli), SP-6 (Sanyinjiao), LR-3 (Taichong), LI-4 (Hegu), GB-34 (Yanglingquan)",Si Jun Zi Tang (Four Gentlemen) for Qi support if child tires easily; Chen Pi (Tangerine Peel) and Shan Zha (Hawthorn) for digestion
How does excessive screen time affect children's health?,"Excessive screens deplete Liver Blood and Kidney Yin (eyes), create Heart Fire (overstimulation), and generate Phlegm-Heat (affecting behavior and sleep). Can cause headaches, mood swings, and sleep disturbances.","GB-20 (Fengchi), LR-3 (Taichong) - Clear Heat and calm eyes","LR-3 (Taichong), GB-20 (Fengchi), GB-37 (Guangming - eye bright), Taiyang (temple), HT-7 (Shenmen), Yintang","Qi Ju Di Huang Wan (Lycium, Chrysanthemum, Rehmannia) for eyes; modified doses. Add calming herbs as needed."
What do childhood headaches indicate in TCM?,"Location matters: frontal (Stomach/Spleen), temporal (Liver/Gallbladder), vertex (Liver), occipital (Bladder/Kidney). Timing and triggers reveal pattern - stress-related shows Liver, food-related shows Spleen, after-school shows Qi deficiency.","Taiyang, LI-4 (Hegu) - Headache relief primary points","Taiyang (temple), Yintang, LI-4 (Hegu), LR-3 (Taichong), GB-20 (Fengchi), ST-8 (Touwei), DU-20 (Baihui)",Pattern-based: Liver→Xiao Yao San; Spleen→Si Jun Zi Tang with Chen Pi; Qi deficiency→Bu Zhong Yi Qi Tang (mild doses)
How to assess abdominal pain in children?,"Ask timing: before/after meals (Spleen), with stress (Liver invading Spleen), morning (Kidney Yang deficiency). Relief with warmth suggests Cold; relief with pressure suggests Qi deficiency. Stool changes provide crucial diagnostic information.","ST-36 (Zusanli), PC-6 (Neiguan) - Digestive comfort","ST-36 (Zusanli), REN-12 (Zhongwan), ST-25 (Tianshu), SP-4 (Gongsun), PC-6 (Neiguan), LR-3 (Taichong)",Xiao Jian Zhong Tang (Minor Construct the Middle) for deficiency-type pain; Xiao Yao San for stress-related; warm gently
What respiratory patterns affect children aged 7-13?,"Asthma and wheeze show Lung weakness with Phlegm. Exercise intolerance indicates Lung and Spleen Qi deficiency. Seasonal patterns (worse in autumn/cold) confirm Lung involvement. Spleen produces Phlegm, Lung stores it.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","LU-7 (Lieque), LU-9 (Taiyuan), LI-4 (Hegu), ST-36 (Zusanli), ST-40 (Fenglong), BL-13 (Feishu), REN-17 (Shanzhong)",Liu Jun Zi Tang (Six Gentlemen) to strengthen Spleen and resolve Phlegm; Su Zi Jiang Qi Tang for wheezing (gentle doses)
How does skin reflect internal patterns in children?,Acne (puberty) shows Heat and Dampness. Eczema indicates Blood deficiency with Wind-Heat or Damp-Heat. Hives suggest Wind invasion due to Wei Qi weakness. Food connections reveal Spleen involvement; stress connections show Liver.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","LI-4 (Hegu), LI-11 (Quchi), SP-10 (Xuehai), SP-6 (Sanyinjiao), ST-36 (Zusanli), LR-3 (Taichong)",Xiao Feng San (Eliminate Wind) for itching; Si Wu Tang (Four Substance) for Blood nourishment in eczema; Qing Wei San for acne
What do growth and puberty changes reveal in TCM?,Early development may show Kidney Fire or Liver Heat. Late development indicates Kidney Essence or Spleen Qi deficiency. Body image concerns affect Heart Shen. Energy changes reflect hormonal shifts and organ development.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","KI-3 (Taixi), SP-6 (Sanyinjiao), REN-4 (Guanyuan), ST-36 (Zusanli), LR-3 (Taichong), HT-7 (Shenmen) for emotional support",For late development: modified Liu Wei Di Huang Wan to tonify Kidney. For early: clear Heat gently. Support Spleen with Si Jun Zi Tang.
How do family dynamics affect children's health?,Parental conflict creates Liver Qi stagnation (child absorbs tension). Sibling rivalry can cause Heart Fire or Spleen Qi deficiency (feeling unloved/worried). Physical symptoms manifest what children cannot express emotionally.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), PC-6 (Neiguan), LR-3 (Taichong), ST-36 (Zusanli), Yintang, Ear Shen Men","Xiao Yao San (Free and Easy Wanderer) for stagnation; Gui Pi Tang if worry and overthinking dominate; gentle, consistent treatment"
What does temperature sensitivity reveal in children?,Feeling hot suggests Yin deficiency or internal Heat (Liver/Stomach). Feeling cold indicates Yang deficiency (Spleen/Kidney). Easy sweating shows Qi and Yang deficiency. Cold hands/feet show Qi/Yang deficiency or Blood deficiency.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","For cold: REN-6 (Qihai), REN-4 (Guanyuan), ST-36 (Zusanli), moxa gently. For hot: KI-3 (Taixi), KI-6 (Zhaohai), SP-6 (Sanyinjiao)","Cold type: Fu Zi Li Zhong Wan (careful with Aconite, pediatric doses). Hot type: Zhi Bai Di Huang Wan (modified, gentle doses)"
How do appetite swings relate to TCM patterns?,Constant hunger despite eating suggests Stomach Heat or Yin deficiency. Poor appetite indicates Spleen Qi deficiency. Selective eating often shows Liver overacting on Spleen. Connection to mood reveals Liver-Spleen disharmony.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-36 (Zusanli), ST-44 (Neiting) for Heat, SP-6 (Sanyinjiao), REN-12 (Zhongwan), PC-6 (Neiguan), LR-3 (Taichong)",Stomach Heat: Qing Wei San. Spleen deficiency: Shen Ling Bai Zhu San. Liver-Spleen: Xiao Yao San in child doses
What do stool patterns reveal in children 7-13?,Constipation shows Large Intestine dryness (Yin/Blood deficiency) or Qi stagnation. Loose stools indicate Spleen Qi deficiency or Damp. Urgency suggests Damp-Heat. Withholding behavior often has emotional component (Liver Qi stagnation).,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-25 (Tianshu), ST-36 (Zusanli), ST-37 (Shangjuxu), SP-6 (Sanyinjiao), LI-4 (Hegu), REN-12 (Zhongwan)",Constipation: Ma Zi Ren Wan (Hemp Seed Pill). Loose stools: Shen Ling Bai Zhu San. Emotional: add Xiao Yao San components.
How to assess urination issues in children?,Frequent urination shows Kidney Qi not consolidating or Bladder Damp-Heat. Urgency suggests Damp-Heat. Nighttime wetting indicates Kidney Yang and Spleen Qi deficiency. Burning or color changes suggest Heat or infection requiring medical evaluation.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","KI-3 (Taixi), KI-7 (Fuliu), SP-6 (Sanyinjiao), REN-3 (Zhongji), REN-4 (Guanyuan), BL-23 (Shenshu), BL-28 (Pangguangshu)",Bedwetting: Suo Quan Wan (Shut the Sluice) modified for children. Frequent urination: Jin Gui Shen Qi Wan (gentle pediatric doses)
How does anxiety manifest in children aged 7-13?,"Worries affect Heart and Spleen (overthinking, poor appetite, fatigue). Somatic symptoms like tummy pain show Liver invading Spleen. Palpitations indicate Heart Blood or Qi deficiency. Triggers reveal which organ systems most affected.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), PC-6 (Neiguan), Yintang, ST-36 (Zusanli), SP-6 (Sanyinjiao), LR-3 (Taichong), Ear Shen Men",Gui Pi Tang (Restore the Spleen) for worry-type anxiety; Gan Mai Da Zao Tang for severe emotional symptoms; gentle doses
How does trauma affect children's health in TCM?,"Trauma severely disturbs Shen, creating Heart Blood deficiency and Kidney fear. Can cause Liver Qi stagnation (anger, irritability) and Spleen Qi deficiency (worry, poor digestion). Symptoms often start after traumatic events.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), PC-6 (Neiguan), PC-7 (Daling), KI-3 (Taixi), Yintang, Ear Shen Men, DU-20 (Baihui)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) for emotional stability with Fu Shen and Suan Zao Ren for Shen nourishment"
How do children perceive their own health?,Self-perception reveals constitutional reality and developing self-image. Feeling 'weak' may indicate actual Qi deficiency or external messaging. Feeling 'often sick' suggests Wei Qi deficiency. Resilience shows strong constitutional Qi.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-36 (Zusanli), KI-3 (Taixi), REN-4 (Guanyuan), DU-12 (Shenzhu), LI-4 (Hegu) - tonification protocol for weak constitution",Bu Zhong Yi Qi Tang (Tonify Middle and Augment Qi) or Shi Quan Da Bu Tang (gentle doses) to build constitutional strength
What is the TCM view of homework stress in children?,"Excessive homework depletes Heart Blood (concentration), strains Spleen Qi (worry), and prevents necessary rest for Kidney Essence development. Lack of play time injures the free-flowing nature of Liver Qi, creating stagnation.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), PC-6 (Neiguan), ST-36 (Zusanli), SP-6 (Sanyinjiao), LR-3 (Taichong), Yintang",Gui Pi Tang to support Heart and Spleen; Xiao Yao San if stress creates irritability; balance study with play and rest
How to address recurrent infections in children?,"Recurrent infections show Wei Qi deficiency from Lung and Spleen weakness. Assess diet (Spleen support), sleep (restoration time), stress (depletes Qi), and hygiene. Strengthen underlying constitution rather than just treating acute infections.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-36 (Zusanli), LI-4 (Hegu), LU-7 (Lieque), BL-13 (Feishu), BL-20 (Pishu), DU-12 (Shenzhu)",Yu Ping Feng San (Jade Windscreen) for prevention between infections; strengthen with Si Jun Zi Tang or Shen Ling Bai Zhu San
How do learning difficulties affect health in TCM?,"Learning difficulties create frustration (Liver Qi stagnation), low self-esteem (Heart Blood deficiency), and family tension. The stress manifests as physical symptoms: headaches, stomach aches, sleep issues, behavioral changes.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), PC-6 (Neiguan), LR-3 (Taichong), ST-36 (Zusanli), DU-20 (Baihui), Sishencong, Yintang",Combination approach: Gui Pi Tang for Heart-Spleen support with additions of Xiao Yao San for frustration and stagnation
What does teeth grinding reveal in children?,"Teeth grinding (bruxism) indicates Liver Heat or Liver Wind (often from stress), Stomach Heat (food stagnation), or parasites (less common now). Jaw pain shows Qi and Blood stagnation in channels. Links to emotional tension.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-6 (Jiache), ST-7 (Xiaguan), LR-3 (Taichong), LR-2 (Xingjian), GB-20 (Fengchi), LI-4 (Hegu)",For stress-related: Xiao Yao San with Long Gu and Mu Li. For food stagnation: Bao He Wan (Preserve Harmony Pill)
How do seasons affect children's symptoms?,"Spring: Liver issues worsen (allergies, irritability). Summer: Heat affects Heart (restlessness, sleep issues). Late summer: Damp affects Spleen (digestive issues). Autumn: Lung vulnerability (colds, asthma). Winter: Kidney and Yang deficiency (cold sensitivity, fatigue).","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Adjust seasonally: Spring→LR-3, LR-8; Summer→HT-7, PC-6; Late Summer→ST-36, SP-9; Autumn→LU-7, LI-4; Winter→KI-3, REN-4",Seasonal formulas: Spring-Liver support; Summer-clear Heart Heat; Late Summer-resolve Damp; Autumn-Lung tonification; Winter-warm Yang
What do food cravings reveal in children?,Sweet cravings show Spleen Qi deficiency (seeking quick energy) or Earth element imbalance. Salty cravings indicate Kidney involvement. Spicy cravings suggest Lung or Stomach patterns. Cold drink preference shows internal Heat or habit pattern.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), KI-3 (Taixi) - regulate organs corresponding to cravings",Sweet cravings: Shen Ling Bai Zhu San to strengthen Spleen. Support with appropriate organ-tonifying formulas based on craving pattern
What calming activities support children's Shen?,"Art and music nourish Heart and Shen (creative expression). Sports move Liver Qi and strengthen body. Reading calms Heart and focuses Shen. These activities are therapeutic, helping balance excess or deficient patterns.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Support with: HT-7 (Shenmen), PC-6 (Neiguan), Yintang for calming; ST-36, SP-6 for grounding; LR-3 for Qi movement","Minimal herbal intervention if child has healthy outlets. If needed, mild Shen-calming: Suan Zao Ren, Fu Shen, Gan Cao combination"
How does exam stress affect digestion in children?,"Exam stress causes Liver Qi to invade Spleen, creating tummy pain, loose stools, or constipation. This is classic Liver-Spleen disharmony. The Liver's Wood overacts on Spleen's Earth when child is under pressure.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","LR-3 (Taichong), ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), PC-6 (Neiguan), LR-14 (Qimen)",Xiao Yao San (Free and Easy Wanderer) - classic formula for Liver-Spleen disharmony. Can add calming herbs for exam period.
What do pale skin and dark circles indicate?,"Pale skin and dark circles under eyes show Blood deficiency (Heart and Liver Blood), Spleen Qi deficiency (poor Blood production), or Kidney essence weakness. Dizziness and tiredness confirm Qi and Blood deficiency.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-36 (Zusanli), SP-6 (Sanyinjiao), BL-17 (Geshu - Blood meeting point), BL-20 (Pishu), BL-23 (Shenshu), REN-4 (Guanyuan)",Si Wu Tang (Four Substance) for Blood; Ba Zhen Tang (Eight Treasure) for Qi and Blood; pediatric doses based on age/weight
Why do children get motion sickness?,Motion sickness shows Spleen Qi weakness and Stomach Qi rebellious (nausea). Inner ear balance connects to Kidney and involves fluid metabolism (Spleen). Weak Middle Jiao cannot stabilize against motion.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","PC-6 (Neiguan - anti-nausea), ST-36 (Zusanli), REN-12 (Zhongwan), SP-4 (Gongsun), ST-25 (Tianshu)",Liu Jun Zi Tang (Six Gentlemen) to strengthen Spleen with Ban Xia (Pinellia) and Chen Pi (Tangerine Peel) for nausea prevention
How to treat childhood allergies in TCM?,Allergies represent Wei Qi deficiency allowing external pathogen invasion (Wind). Sneezing and itchy eyes show Lung and Liver Wind-Heat. Skin reactions indicate Blood deficiency with Wind. Triggers help identify pattern.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","LI-4 (Hegu), LI-20 (Yingxiang), LU-7 (Lieque), GB-20 (Fengchi), LR-3 (Taichong), ST-36 (Zusanli), SP-10 (Xuehai)",Yu Ping Feng San (Jade Windscreen) for prevention; Xiao Feng San (Eliminate Wind) during reactions; strengthen underlying constitution
How to address bedwetting in children 7-13?,"Bedwetting (enuresis) at this age shows Kidney Yang and Spleen Qi deficiency - inability to consolidate bladder. Emotional factors (stress, anxiety) exacerbate. Cold exposure worsens. Requires gentle, supportive treatment without shame.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","KI-3 (Taixi), SP-6 (Sanyinjiao), REN-3 (Zhongji), REN-4 (Guanyuan), BL-23 (Shenshu), BL-28 (Pangguangshu), moxa therapy helpful",Suo Quan Wan (Shut the Sluice Pill) modified for children with Jin Gui Shen Qi Wan components for Kidney Yang support
How do health fears affect children?,Health fears create Heart Qi deficiency and Shen disturbance. Often learned from family anxiety. The fear itself depletes Kidney (fear injures Kidney) creating self-fulfilling cycle. Address both child and family patterns.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), PC-6 (Neiguan), KI-3 (Taixi), Yintang, Ear Shen Men, DU-20 (Baihui)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) for emotional calming with Suan Zao Ren and Fu Shen for Shen stabilization"
What causes posture-related pain in children?,"Heavy backpacks and prolonged desk time create Qi and Blood stagnation in neck, shoulders, and back. Weak Spleen Qi means poor muscle support. Kidney deficiency affects bone and postural stability.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","GB-20 (Fengchi), GB-21 (Jianjing), BL-11 (Dazhu), SI-3 (Houxi), LI-4 (Hegu), ST-36 (Zusanli), BL-23 (Shenshu)",Externally: Dit Da Jow for topical application. Internally: Du Huo Ji Sheng Tang (modified) if chronic; strengthen Spleen and Kidney
How to support girls beginning menstruation?,"Menarche typically begins 11-13 years. Ask about cycle regularity, pain (Liver Qi stagnation or Blood stasis), flow amount (Blood deficiency or excess), and emotional changes (Liver-Heart involvement). Education and normalization important.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","SP-6 (Sanyinjiao), SP-10 (Xuehai), LR-3 (Taichong), ST-36 (Zusanli), REN-4 (Guanyuan), BL-23 (Shenshu)",Si Wu Tang (Four Substance) for Blood nourishment; Xiao Yao San if PMS symptoms; Tao Hong Si Wu Tang if pain suggests stasis
How does social media affect children's health?,"Social media creates comparison (depletes Heart), anxiety (Liver-Heart disharmony), poor sleep (screens at night scatter Shen), and posture issues (hunched over devices creates stagnation). Self-image concerns affect emotional wellbeing.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), PC-6 (Neiguan), LR-3 (Taichong), Yintang, GB-20 (Fengchi), ST-36 (Zusanli)",Gui Pi Tang for Heart-Spleen support; Xiao Yao San for Liver Qi regulation; emphasize screen boundaries and outdoor time
How do parental expectations create pressure?,"High expectations in sports/academics create Liver Qi stagnation (frustration), Spleen Qi deficiency (worry), Heart Blood deficiency (anxiety), and can deplete Kidney essence (burnout). Physical symptoms manifest emotional pressure child cannot articulate.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-7 (Shenmen), LR-3 (Taichong), ST-36 (Zusanli), PC-6 (Neiguan), Yintang, SP-6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) for Liver-Spleen harmony with Shen-calming additions; family education crucial
How do children express difficult emotions?,Crying releases Lung Qi and expresses grief. Talking shows healthy Heart Shen connection. Withdrawal suggests severe Shen disturbance or Kidney fear. Acting out shows Liver Qi stagnation or Liver Fire. Each requires different TCM approach.,"LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Crying→LU-1, LU-7; Withdrawal→HT-7, KI-3, Yintang; Acting out→LR-2, LR-3, GB-20; Support expression with PC-6, REN-17",Match formula to pattern: Lung grief→Bai He Gu Jin Tang; Heart withdrawal→Gui Pi Tang; Liver acting out→Xiao Yao San
How does caffeine affect children?,"Caffeine from cola, energy drinks, or tea creates Heart Fire and agitates Shen (anxiety, restlessness). Depletes Kidney Yin and disturbs sleep. Creates false energy masking underlying Qi deficiency. Should be minimized in children.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","HT-8 (Shaofu), HT-7 (Shenmen), KI-3 (Taixi), KI-6 (Zhaohai), PC-6 (Neiguan), Yintang",Clear Heart Fire: Dao Chi San (Guide Out the Red). Nourish Yin: Liu Wei Di Huang Wan (gentle doses). Emphasize sleep hygiene.
How do specific foods create digestive issues?,"Dairy, wheat, fried foods create Dampness and Phlegm (Spleen weakness). Sweets generate Damp-Heat. These foods overwhelm weak Spleen Qi, causing bloating, loose stools, fatigue, and brain fog. Food quality affects organ function.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), ST-40 (Fenglong), REN-12 (Zhongwan), PC-6 (Neiguan)","Shen Ling Bai Zhu San (Ginseng, Poria, Atractylodes) to strengthen Spleen and resolve Damp; dietary education essential"
Why do symptoms differ on weekends vs. school days?,"School days involve stress (Liver Qi stagnation), early waking (disrupts natural rhythms), and structured eating. Weekends allow restoration but irregular sleep and diet can create new imbalances. Pattern reveals whether symptoms are stress-related or constitutional.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Assess primary pattern and treat accordingly. School stress→LR-3, PC-6, HT-7. Constitutional→ST-36, KI-3, SP-6 tonification",Stress-related: Xiao Yao San. Constitutional weakness: Bu Zhong Yi Qi Tang or Si Jun Zi Tang. Weekend patterns guide diagnosis.
What does boredom and restlessness indicate?,"Boredom and restlessness show Liver Qi stagnation (Wood needs to move and express), Spleen deficiency (lack of grounding), or excess Heat (hyperactivity). When it occurs (after sitting still, during unstructured time) reveals pattern.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","LR-3 (Taichong), GB-34 (Yanglingquan), ST-36 (Zusanli), HT-7 (Shenmen), DU-20 (Baihui), Sishencong",Xiao Yao San for Liver Qi stagnation; if hyperactive consider gentle Long Dan Xie Gan Tang; ensure adequate physical activity
How do cultural practices affect treatment?,"Cultural or religious dietary practices (fasting, restrictions) may affect Spleen Qi and nutrition. Some cultures avoid certain treatments (bloodletting, certain herbs). Understanding cultural context ensures respectful, effective treatment planning.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points",Treatment protocols remain based on TCM diagnosis but modified respectfully within cultural framework and family values,Herbal formulas can be adjusted for dietary restrictions. Communication with family about cultural practices ensures adherence and respect
What are parents' treatment goals for children?,"Parents typically want: less pain, better sleep, fewer infections, calmer mood, or improved school performance. Understanding priorities helps focus treatment and creates measurable outcomes. Address most concerning symptoms first.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Prioritize point selection based on chief complaint while treating root: Pain→local+distal; Sleep→HT-7, Anmian; Mood→PC-6, LR-3; Focus→Sishencong",Select primary formula for chief complaint while building underlying constitution. Parents see results when priority symptoms improve.
What are children's own treatment goals?,"Children's goals reveal what bothers them most: energy, pain, focus, worries, sports performance. Their perspective often differs from parents'. Including child in goal-setting increases cooperation and shows respect.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Engage child in understanding treatment. Age-appropriate point selection and gentle needling technique. May use non-needle options (tuina, seeds)","Child-friendly formulas (granules in juice, easier-tasting herbs). When child feels heard and involved, treatment compliance improves."
How does family history inform treatment?,"Family history of asthma, eczema, allergies suggests constitutional Lung and Spleen weakness. ADHD patterns suggest Liver-Heart disharmony. Mental health history indicates Shen vulnerability. Constitutional patterns often hereditary (Kidney Jing transmission).","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Constitutional treatment: ST-36, SP-6, KI-3, LU-7, LI-4 for Wei Qi; HT-7, PC-6 for Shen if family mental health history",Preventive approach: Yu Ping Feng San for allergic family history; Shen-stabilizing formulas if mental health patterns; strengthen constitution early
Why is hydration important in children?,"Adequate water supports Kidney, Body Fluids production (Spleen), and all organ functions. Dehydration creates Yin deficiency patterns, concentrates Heat, and impairs Qi transformation. Sugary drinks damage Spleen and create Damp-Heat.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), KI-3 (Taixi), REN-9 (Shuifen - water division)",If chronic dehydration causes Yin deficiency: Liu Wei Di Huang Wan. If Damp from sugary drinks: Shen Ling Bai Zhu San. Education crucial.
How do bathroom habits at school affect health?,"Avoiding school bathrooms (embarrassment) creates Qi stagnation, can cause constipation, UTIs, or bladder issues. Rushing creates incomplete elimination. This simple behavior has significant health implications requiring both treatment and school advocacy.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","LI-4 (Hegu), ST-25 (Tianshu), ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-3 (Zhongji), BL-28 (Pangguangshu)",Support elimination with appropriate formulas (Ma Zi Ren Wan if constipated). Address emotional factors. May need school accommodation discussion.
What else should caregivers share about the child?,"Open-ended invitation allows sharing of information parents/children weren't sure was relevant: sleep position, specific fears, changes in household, pet death, favorite foods, what makes them happy. Context enriches diagnosis and treatment.","LI-4 (Hegu), ST-36 (Zusanli) - General trigger and tonification points","Remain flexible and attentive to what emerges. Each child unique. Points and formulas must match individual, not just textbook pattern",TCM's strength is individualized treatment. Information gathered through open listening creates most accurate diagnosis and effective treatment plan.
